segment_id,segment_text,real_rec,gpt4o_all,gpt4,gpt4o_idxmx
1,"In the neighborhood I grew up in, Mrs. Baker was the resident cat lady.",89.8,92.98,100.0,100.0
2,She had adopted at least twenty –,58.16,66.67,40.0,33.33
3,or had given them homes.,41.84,47.37,10.0,33.33
4,But she had – a young grandson,69.39,78.95,90.0,66.67
5,and back then I was quite the tomboy.,51.02,61.4,30.0,44.44
6,"And apparently, he was trying to befriend me.",57.14,73.68,100.0,55.56
7,I never caught on.,16.33,28.07,10.0,22.22
8,Truth is I didn't take to him much because he had –,4.08,64.91,40.0,11.11
9,He was a charming lad until you saw his manners.,24.49,38.6,50.0,11.11
10,He had poor manners.,53.06,66.67,60.0,66.67
11,Goodness gracious he had poor manners.,19.39,35.09,10.0,0.0
12,Then he left a note one day saying he was going to run away because she was always nagging about me.,51.02,84.21,90.0,66.67
13,She came to my treehouse.,47.96,61.4,70.0,22.22
14,Big old tabby cat in tow.,30.61,35.09,50.0,11.11
15,I talked her down,4.08,31.58,30.0,0.0
16,and said “Well we'll go find him,30.61,38.6,50.0,0.0
17,"and if we can't locate him, you can – go ahead and call the police if you need to.”",28.57,24.56,50.0,11.11
18,I was strategizing.,2.04,3.51,0.0,0.0
19,So she took my advice.,2.04,5.26,20.0,0.0
20,And we went to where they found his baseball cap – near the old mill,35.71,36.84,80.0,33.33
21,and we trailed a bit more,12.24,0.0,30.0,0.0
22,and we didn't find a trace.,12.24,14.04,50.0,0.0
23,And returned,6.12,0.0,10.0,0.0
24,– it was a treehouse club –,12.24,0.0,30.0,0.0
25,he was sitting on a branch with a comic book in his hand.,75.51,54.39,100.0,66.67
26,He hadn't run away.,40.82,19.3,80.0,22.22
27,But – however – that resolved it for that day.,6.12,15.79,30.0,0.0
28,"But that evening the local sheriff, Officer Dawson said “You better lay low and stay out of sight because that woman never forgets anything once she gets it into her mind.”",70.41,66.67,100.0,66.67
29,And I did.,25.51,1.75,20.0,0.0
30,I laid low,25.51,33.33,60.0,11.11
31,and stayed out of sight.,20.41,28.07,70.0,11.11
32,That was the second time.,18.37,7.02,70.0,0.0
