recall_id,keypoints,attempt,summary_text,segment_ids,keypoints_id,coverage
summary_gpt4o_3_1,3,1,"1. I was a rookie and the Chief had a young daughter. 2. The Chief's daughter planned to run away, and I helped search for her. 3. I transferred and left after Frank advised me to, ending my rookie year.","[1, 4, 12, 30, 31, 32]",summary_gpt4o_3_1,6
summary_gpt4o_3_3,3,3,1. I was a rookie in the police force back in the day. 2. The Chief's daughter left a message saying she was going to run away. 3. I transferred and left because the Chief never forgets anything once it's in his mind.,"[1, 12, 28, 29, 30, 31]",summary_gpt4o_3_3,6
summary_gpt4o_3_2,3,2,"1. I was a rookie police officer interested in fitness. 2. The Chief's daughter left a message about running away due to his disapproval. 3. We found her safe at the police station, leading to my transfer.","[1, 5, 12, 25, 26, 30, 31]",summary_gpt4o_3_2,7
summary_gpt4o_4_3,4,3,1. I was a rookie in the police force. 2. The Chief's daughter seemed to like me. 3. The Chief thought she ran away because of me. 4. I transferred and left after the incident.,"[1, 2, 3, 4]",summary_gpt4o_4_3,4
summary_gpt4o_4_2,4,2,1. I was a rookie in the police force. 2. I learned that the Chief's daughter was a chatterbox. 3. The Chief and I searched for his daughter when she threatened to run away. 4. I transferred to another department after the incident.,"[1, 2, 3, 4]",summary_gpt4o_4_2,4
summary_gpt4o_4_1,4,1,"1. I noticed the Chief had a young daughter who was trying to impress me. 2. She left a message saying she would run away because the Chief scolded her about me. 3. The Chief and I looked for her, but she was found at the police station. 4. I transferred and left the department after being advised by the deputy.","[4, 6, 12, 30, 31]",summary_gpt4o_4_1,5
summary_gpt4o_5_1,5,1,1. I was a rookie in the police force. 2. The Chief's daughter was trying to impress me. 3. She left a message saying she was going to run away. 4. The Chief and I searched for her but couldn't find her. 5. I transferred and left after that incident.,"[1, 2, 3, 4, 5]",summary_gpt4o_5_1,5
summary_gpt4o_5_3,5,3,1. I was a rookie in the police force. 2. The Chief's daughter tried to impress me. 3. The Chief's daughter left a message about running away. 4. We searched for the Chief's daughter but found her at the police station. 5. I transferred and left the police force after my rookie year.,"[1, 2, 3, 4, 5]",summary_gpt4o_5_3,5
summary_gpt4o_5_2,5,2,"1. I was a rookie in the police force with a veteran Chief. 2. The Chief's daughter tried to impress me, but I didn't like her chattiness. 3. The daughter left a message saying she would run away. 4. The Chief and I searched for her but found her safe at the police station. 5. I transferred and left the police force because the Chief never forgot anything.","[1, 4, 6, 9, 10, 11, 12, 25, 26, 28, 29, 30, 31]",summary_gpt4o_5_2,13
summary_gpt4o_6_2,6,2,1. I was a rookie in the police force. 2. The Chief had a young daughter. 3. I didn't like her because she talked too much. 4. She left a message saying she would run away. 5. The Chief and I searched for her. 6. I transferred and left at the end of the year.,"[1, 2, 3, 4, 5, 6]",summary_gpt4o_6_2,6
