segment_id,segment_text,p-caught
1,"Well, I was at work one day",99.06%
2,I was doing my usual job,80.19%
3,working on the warehouse floor,94.34%
4,stocking boxes,71.70%
5,organizing merchandise,56.60%
6,I had been working for a few hours,17.92%
7,it was getting late,43.40%
8,I had been feeling a bit strange,88.68%
9,a bit lightheaded,95.28%
10,but chalked it up to hunger,91.51%
11,not having eaten yet that day,100.00%
12,"But then, as I was walking around the warehouse",5.66%
13,returning items to their proper places,1.89%
14,I started to feel a strange tightness,100.00%
15,and pressure in my chest,100.00%
16,I stopped what I was doing,20.75%
17,leaned against a nearby wall for a bit,93.40%
18,the pressure only got stronger,83.02%
19,I could feel my heart pounding in my chest,64.15%
20,"Next thing I know, I started seeing spots",66.04%
21,I could feel sweat dripping down my forehead,100.00%
22,my arms,58.49%
23,I tried to take some deep breaths,52.83%
24,I just couldn't catch my breath,90.57%
25,I was really scared,100.00%
26,didn't know what to do.,33.96%
27,Suddenly I heard a voice coming from across the warehouse.,64.15%
28,It was the manager,98.11%
29,who had seen me,96.23%
30,called out to me,60.38%
31,it seems someone had noticed me,44.34%
32,was checking to see if I was alright,43.40%
33,I tried to yell back that something was wrong,49.06%
34,I couldn't find my voice.,84.91%
35,The manager started walking towards me,59.43%
36,I could feel my world going dark,26.42%
37,I started to drop to the ground,90.57%
38,luckily the manager got to me in time,97.17%
39,caught me just before my legs gave out,87.74%
40,He took me to the staff room,100.00%
41,sat me down in a chair,83.96%
42,He asked me questions about what was wrong,8.49%
43,what happened,8.49%
44,He got me a glass of cold water,97.17%
45,told me to rest for a bit,84.91%
46,After a few minutes,71.70%
47,the pressure in my chest slowly eased up,76.42%
48,I started to feel better,61.32%
49,It turned out I had been having a panic attack,100.00%
50,I escaped from the situation,0.00%
51,the help of the quick action of the manager,29.25%
52,It was never a fun experience,60.38%
53,it really could have been much worse,47.17%
54,it taught me to check in with myself,80.19%
55,make sure to properly rest,80.19%
56,eat to avoid further episodes,69.81%
