recall_id,clause_id,clause_text
5ea1bd7e16a0c70919660653,1,During a wedding
5ea1bd7e16a0c70919660653,2,a lady was pushed into a swimming pool
5ea1bd7e16a0c70919660653,3,by her aunt
5ea1bd7e16a0c70919660653,4,as a bee was close to her.
5ea1bd7e16a0c70919660653,5,She nearly fell
5ea1bd7e16a0c70919660653,6,on the wedding cake.
5d10fa2bbfbf0a000133594b,1,My cousin pushed me into the pool
5d10fa2bbfbf0a000133594b,2,at my cousins wedding.
5d10fa2bbfbf0a000133594b,3,She pushed me in
5d10fa2bbfbf0a000133594b,4,as there was a bee.
5d10fa2bbfbf0a000133594b,5,"My auntie told me to be aware of friends,"
5d10fa2bbfbf0a000133594b,6,as they don’t always think things through.
5d10fa2bbfbf0a000133594b,7,Then she gave me a little shove.
5d10fa2bbfbf0a000133594b,8,"I landed in the pool,"
5d10fa2bbfbf0a000133594b,9,then the next thing to do was get out
5d10fa2bbfbf0a000133594b,10,"and dry off,"
5d10fa2bbfbf0a000133594b,11,but my beautiful dress was ruined.
5d10fa2bbfbf0a000133594b,12,"My cousin started laughing,"
5d10fa2bbfbf0a000133594b,13,"and said,"
5d10fa2bbfbf0a000133594b,14,"a couple more inches,"
5d10fa2bbfbf0a000133594b,15,and you would have landed in the cake.
5a3ee0d22f91ec0001dca78d,1,My best friend pushed me into the swimming pool
5a3ee0d22f91ec0001dca78d,2,at my cousins wedding.
5a3ee0d22f91ec0001dca78d,3,She was trying to avoid me being stung
5a3ee0d22f91ec0001dca78d,4,when a bee landed near my face.
5a3ee0d22f91ec0001dca78d,5,My Aunt said that's what best friends do.
5a3ee0d22f91ec0001dca78d,6,When I resurfaced
5a3ee0d22f91ec0001dca78d,7,my friend burst into laughter.
5a3ee0d22f91ec0001dca78d,8,My cousin said
5a3ee0d22f91ec0001dca78d,9,if I had a fallen a little further
5a3ee0d22f91ec0001dca78d,10,a few inches
5a3ee0d22f91ec0001dca78d,11,it would be been on the cake.
62b6cb277460cccbc8f27ad5,1,SHE WAS AT HER BEST FRIENDS WEDDING
62b6cb277460cccbc8f27ad5,2,WHEN HER COUSIN TRIED TO SWIPE AWAY A BEE
62b6cb277460cccbc8f27ad5,3,"WHEN SHE ACCIDENTLY PUSHED HER IN TO THE POND,"
62b6cb277460cccbc8f27ad5,4,SHE WAS HOLDING A GLASS OF CHAMPAGNE
62b6cb277460cccbc8f27ad5,5,"HER AUNT HAD GIVEN HER,"
62b6cb277460cccbc8f27ad5,6,HER COUSIN JUST LAUGHED
62b6cb277460cccbc8f27ad5,7,"ONCE SHE GOT OUT AND DRY,"
62b6cb277460cccbc8f27ad5,8,SHE APOLOGISED
62b6cb277460cccbc8f27ad5,9,AND SAID GOOD JOB YOU DIDNT FALL INTO THE CAKE
589f019c69733b0001af54df,1,My best friend pushed me in to the pool.
589f019c69733b0001af54df,2,This happened during a friends wedding reception.
589f019c69733b0001af54df,3,I had just been given a glass of champagne.
589f019c69733b0001af54df,4,A bee came along.
589f019c69733b0001af54df,5,She tried to prevent me from getting stung.
589f019c69733b0001af54df,6,She just gave me a little push.
589f019c69733b0001af54df,7,I fell into the pool.
589f019c69733b0001af54df,8,I ruined my new dress.
589f019c69733b0001af54df,9,"My aunt said, ""just a few more inches and I would have fallen on the cake."""
5a7c5a98eea3d300016e1d1e,1,girl was pushed into the pool
5a7c5a98eea3d300016e1d1e,2,at her cousins wedding
5a7c5a98eea3d300016e1d1e,3,by her best friend
5a7c5a98eea3d300016e1d1e,4,because there was a bee next to her.
5a7c5a98eea3d300016e1d1e,5,she apologised
5a7c5a98eea3d300016e1d1e,6,but the dress was ruined.
575ef812a2ce6e000666f239,1,"Person pushed into the pool by a friend during her aunt's wedding reception,"
575ef812a2ce6e000666f239,2,friend saying something about a bee.
575ef812a2ce6e000666f239,3,Person climbs out of the pool in her wet dress to dry off.
575ef812a2ce6e000666f239,4,Relative makes a joke about another few inches and landing on the cake.
6171b613293370249f437607,1,Her best friend pushed her into the swimming pool
6171b613293370249f437607,2,"because of a bee,"
6171b613293370249f437607,3,while they were at her cousins wedding
6171b613293370249f437607,4,at a hotel.
6171b613293370249f437607,5,She got out
6171b613293370249f437607,6,"and dried off,"
6171b613293370249f437607,7,but her dress was ruined.
6171b613293370249f437607,8,She missed the cake
6171b613293370249f437607,9,by a few inches.
60ad65a0a187d7ef811ed7e6,1,A lady and her best friend attended her cousin's wedding at a beautiful hotel garden.
60ad65a0a187d7ef811ed7e6,2,The friend pushed the lady in the near by pool.
60ad65a0a187d7ef811ed7e6,3,(This was done) to prevent her from being stung by a bee.
60ad65a0a187d7ef811ed7e6,4,(This happened) just moments after the lady's aunt has handed her a glass of champagne.
60ad65a0a187d7ef811ed7e6,5,"As she resurfaced and gasped for air, the friend started laughing."
60ad65a0a187d7ef811ed7e6,6,(The friend started) apologizing for her actions.
60ad65a0a187d7ef811ed7e6,7,(The friend was) explaining why she pushed her in the pool.
60ad65a0a187d7ef811ed7e6,8,"Though the lady was worried about her dress being ruined, the cousin then told her she was inches away from landing on the wedding cake."
5f37748da58054204f5b433a,1,Was sitting by the edge of the pool at a wedding.
5f37748da58054204f5b433a,2,Had a glass of champagne from your aunt.
5f37748da58054204f5b433a,3,"A bee was flying in front of your face,"
5f37748da58054204f5b433a,4,"and your friend pushed you in the pool,"
5f37748da58054204f5b433a,5,claiming she was trying to save you from the bee.
5f37748da58054204f5b433a,6,Your dress was ruined.
5f37748da58054204f5b433a,7,And your friend laughed
5f37748da58054204f5b433a,8,and said a few more inches
5f37748da58054204f5b433a,9,and you would have landed on the cake.
5f218e5462e3b6568de0f0e5,1,It was her cousin's wedding
5f218e5462e3b6568de0f0e5,2,and her friend had pushed her into the water.
5f218e5462e3b6568de0f0e5,3,It was a fancy wedding
5f218e5462e3b6568de0f0e5,4,where everyone dressed to impress.
5f218e5462e3b6568de0f0e5,5,She had a glass of champagne.
5f218e5462e3b6568de0f0e5,6,Her dress was ruined.
5f218e5462e3b6568de0f0e5,7,"When she went to gasp for air,"
5f218e5462e3b6568de0f0e5,8,someone says that she was very close to the landing on the cake.
602c64564ad77a557c5cc279,1,"I got pushed into a pool by my cousin,"
602c64564ad77a557c5cc279,2,the reason it happened was there was a bee in a motel garden
602c64564ad77a557c5cc279,3,and my cousin pushed me to prevent me getting stung.
602c64564ad77a557c5cc279,4,I landed in the pool
602c64564ad77a557c5cc279,5,and the first thing to do was to dry off my beautiful dress.
602c64564ad77a557c5cc279,6,My cousin laughed
602c64564ad77a557c5cc279,7,and apologised profusely when I got out of the water.
602c64564ad77a557c5cc279,8,'A few inches further and you've have landed in the cake' she said.
600dbc400c8bdf5900aa0cd5,1,I got pushed into a river
600dbc400c8bdf5900aa0cd5,2,"at my cousin's wedding,"
600dbc400c8bdf5900aa0cd5,3,by my best friend
600dbc400c8bdf5900aa0cd5,4,"who was trying to save me from a bee,"
600dbc400c8bdf5900aa0cd5,5,"I was handed a glass of champagne,"
600dbc400c8bdf5900aa0cd5,6,we were all dressed to impress.
5dc1978fdbf8200fe9537083,1,My cousin pushed me into the pool.
5dc1978fdbf8200fe9537083,2,This was at my cousin's wedding
5dc1978fdbf8200fe9537083,3,and everyone was dressed to impress.
5dc1978fdbf8200fe9537083,4,There was a bee hovering close to my face
5dc1978fdbf8200fe9537083,5,and she just tried to warn me about.
5dc1978fdbf8200fe9537083,6,My aunt told her to be careful.
5dc1978fdbf8200fe9537083,7,That's when she gave a little shove
5dc1978fdbf8200fe9537083,8,and I tumbled into the pool.
5dc1978fdbf8200fe9537083,9,When I resurfaced she stared at me
5dc1978fdbf8200fe9537083,10,and then laughed.
5dc1978fdbf8200fe9537083,11,She apologized profusely
5dc1978fdbf8200fe9537083,12,and my beautiful dress was ruined.
5dc1978fdbf8200fe9537083,13,She said that with a few more inches
5dc1978fdbf8200fe9537083,14,I would have landed on the cake.
596e5141fe061d00011e3984,1,My best friend pushed into the pool.
596e5141fe061d00011e3984,2,"I was at my cousins wedding reception,"
596e5141fe061d00011e3984,3,everyone was dressed to impress.
596e5141fe061d00011e3984,4,The reason was she saw a bee hovering above my head.
596e5141fe061d00011e3984,5,My aunt had passed me a glass of champagne.
596e5141fe061d00011e3984,6,Best friends dont always think things through
596e5141fe061d00011e3984,7,and she gave me a little shove.
596e5141fe061d00011e3984,8,"My cousin said ""just a few inches further"
596e5141fe061d00011e3984,9,"and you would have landed on the cake."""
58a89e40e6afe00001d36058,1,At a wedding
58a89e40e6afe00001d36058,2,my friend gave me a small shove
58a89e40e6afe00001d36058,3,to protect me from a bee.
58a89e40e6afe00001d36058,4,Unfortunately
