segment_id,segment_text,p-caught
1,"Back in the days when I was a rookie in the police force, the Chief was a veteran.",100.00%
2,He had caught a notorious criminal –,93.41%
3,or had been awarded for bravery.,99.40%
4,But he had – a young daughter.,99.40%
5,And in those days I was a fitness enthusiast.,91.02%
6,And it seemed she was trying to impress me.,100.00%
7,I never observed it.,47.90%
8,Truth is I wasn't very fond of her because she was –,97.01%
9,She was a charming girl until she opened her mouth.,100.00%
10,She was a chatterbox.,100.00%
11,"Goodness, she could talk.",97.60%
12,Then she left a message one day saying she was going to run away because he was always scolding her about me.,100.00%
13,He arrived at my apartment.,100.00%
14,Big intimidating look on his face.,100.00%
15,I managed to calm him down.,100.00%
16,and proposed “Well we'll search for her,100.00%
17,and if we can't locate her well you can – do whatever you think is right.”,89.22%
18,I was strategizing.,35.93%
19,So he accepted my offer.,79.64%
20,And we went to where they found her scarf – near a park.,100.00%
21,and we traced down a little more,32.34%
22,and we couldn't locate her.,100.00%
23,And returned,100.00%
24,– it was a police station –,100.00%
25,she was sitting on a chair with a book in her hands.,100.00%
26,She hadn't run away.,100.00%
27,But – nevertheless – that resolved the issue for that day.,9.58%
28,"But that evening the deputy, Frank Mitchell, said “You better transfer and leave because that old man never forgets anything once he gets it into his mind.”",100.00%
29,And I did.,100.00%
30,I transferred.,100.00%
31,and left.,98.20%
32,That was the end of my rookie year.,100.00%
