segment_id,segment_text,p-caught
1,Let me share a story from when I was twenty-one years old.,96.30%
2,I was living in a small apartment near the city center.,51.85%
3,I had just started my first job.,94.44%
4,And uh I was working as a graphic designer.,90.74%
5,"My father, who was recovering from a surgery, hadn't been out in – in uh – well I'd say about eight months.",100.00%
6,He had to use a wheelchair to get around.,98.15%
7,"The only person there with him during the day was a kind neighbor, a lady in her sixties.",92.59%
8,My younger sister was away at college –,6.48%
9,so it was just my dad and the neighbor lady at home during the day.,75.00%
10,"One day, I got this strong feeling while I was at work.",100.00%
11,"It told me: ""If you go to the nearby park during your lunch break and pray for your father's recovery, he'll start to improve.""",100.00%
12,I looked around my office.,81.48%
13,I didn't see anyone nearby.,62.96%
14,"So, I went to the park during my break",100.00%
15,and found a quiet spot there.,62.04%
16,That feeling came back again.,33.33%
17,I looked around once more.,85.19%
18,I still didn't see anyone nearby,68.52%
19,but I decided to take a chance.,44.44%
20,"I wasn't too far from my office, maybe a ten-minute walk.",4.63%
21,I found a bench to sit on and closed my eyes – uh – uh –,75.00%
22,that feeling came back once more.,29.63%
23,I just took a deep breath.,13.89%
24,I was sitting under a big oak tree now.,84.26%
25,I looked up at the branches above me.,7.41%
26,Nobody was around.,82.41%
27,"And uh I said to myself, well now,",9.26%
28,I had been taught that prayers can make a difference.,30.56%
29,And that it doesn't hurt to try.,29.63%
30,"I knew I wasn't perfect, but I wanted to help my dad.",17.59%
31,I'd admit that to anyone.,7.41%
32,But I was willing to give it a try.,19.44%
33,I looked around one more time,81.48%
34,and then I closed my eyes,46.30%
35,and said a quiet prayer.,96.30%
36,"I whispered, ""God, I don't know if you're listening.",42.59%
37,But I ask you to please help my father recover.,94.44%
38,"So he can regain his independence and enjoy life again.""",87.96%
39,I opened my eyes,37.04%
40,and went back to work.,63.89%
41,"Suddenly, I received a text message from my father.",99.07%
42,"It said, ""I just took a few steps with my walker.""",98.15%
43,I – I couldn't believe it.,33.33%
44,It felt like a sign that my prayer had been heard.,7.41%
45,I rushed home after work,86.11%
46,and saw my father standing in the living room with the help of his walker.,94.44%
47,He hadn't been able to do that in months without assistance.,28.70%
48,"And there he was, taking small steps.",18.52%
49,That was the turning point in his recovery.,92.59%
50,He continued to improve,92.59%
51,and regained most of his mobility within a year.,87.04%
52,"It's been, what, six or seven years since then?",8.33%
53,My father is now able to walk without any assistance.,88.89%
54,"He's living life to the fullest, even in his seventies.",2.78%
