recall_id,keypoints,attempt,summary_text,segment_ids,keypoints_id,coverage
summary_gpt4o_3_1,3,1,"1. My best friend pushed me into the pool to save me from a bee. 2. Everyone was at my cousin's wedding dressed nicely when this happened. 3. My friend laughed and apologized, as my dress got ruined.","[1, 2, 3, 5, 7, 14, 15, 16]",summary_gpt4o_3_1,8
summary_gpt4o_3_3,3,3,"1. My best friend pushed me into the pool to save me from a bee. 2. I fell into the pool at my cousin's wedding reception in a fancy hotel garden. 3. Everyone laughed, but my dress was ruined, and I almost landed on the cake.","[1, 2, 5, 6, 7, 14, 16, 18]",summary_gpt4o_3_3,8
summary_gpt4o_3_2,3,2,1. My best friend pushed me into the pool to save me from a bee. 2. I ended up in the water during my cousin's wedding at a fancy hotel garden. 3. My friend laughed and apologized while I was upset about my ruined dress.,"[1, 2, 5, 6, 7, 12, 14, 15, 16]",summary_gpt4o_3_2,9
summary_gpt4o_4_3,4,3,"1. My best friend pushed me into the pool during my cousin's wedding reception. 2. She did it to save me from a bee hovering near my face. 3. I warned her to be careful as I held a glass of champagne. 4. When I resurfaced, she laughed and apologized, and my cousin joked about how close I was to landing on the cake.","[1, 2, 5, 7, 8, 9, 13, 14, 15, 18]",summary_gpt4o_4_3,10
summary_gpt4o_4_2,4,2,"1. My best friend pushed me into the pool. 2. She tried to save me from a bee near my face. 3. I fell into the water, ruining my dress during the wedding reception. 4. My cousin joked about how close I was to landing on the cake.","[1, 2, 3, 4]",summary_gpt4o_4_2,4
summary_gpt4o_4_1,4,1,"1. My best friend pushed me into the pool during my cousin's wedding reception. 2. She pushed me because she saw a bee near my face and tried to save me. 3. I fell into the water after warning her to be careful with the champagne my aunt gave me. 4. After resurfacing, my cousin said I nearly landed on the cake.","[1, 2, 5, 7, 8, 9, 12, 13, 18]",summary_gpt4o_4_1,9
summary_gpt4o_5_1,5,1,"1. My best friend pushed me into the pool. 2. This happened during my cousin's wedding reception. 3. She did it to save me from a bee near my face. 4. I resurfaced gasping and she laughed and apologized. 5. My beautiful dress was ruined, and I dried off.","[1, 2, 3, 4, 5]",summary_gpt4o_5_1,5
summary_gpt4o_5_3,5,3,1. My best friend pushed me into the pool. 2. This happened during my cousin's wedding reception. 3. She tried to save me from a bee near my face. 4. I warned her to be careful with my champagne. 5. My cousin joked about me nearly landing on the cake.,"[1, 2, 3, 4, 5]",summary_gpt4o_5_3,5
summary_gpt4o_5_2,5,2,1. My best friend pushed me into the pool. 2. This was during my cousin's wedding reception at a fancy hotel garden. 3. She did it to save me from a bee near my face. 4. I tumbled into the water after my aunt handed me champagne. 5. My cousin joked about me almost landing on the cake.,"[1, 2, 3, 4, 6, 7, 8, 12, 18]",summary_gpt4o_5_2,9
summary_gpt4o_6_2,6,2,1. My best friend pushed me into the pool. 2. This happened during my cousin's wedding reception. 3. She saw a bee near my face in the hotel garden. 4. I had a glass of champagne from my aunt at that time. 5. She laughed and apologized after I fell in. 6. My cousin joked about me nearly landing on the cake.,"[1, 2, 3, 4, 5, 6]",summary_gpt4o_6_2,6
summary_gpt4o_6_3,6,3,1. My best friend pushed me into the pool. 2. This happened during my cousin's wedding reception. 3. She spotted a bee hovering near my face. 4. I warned her to be careful with my champagne. 5. I tumbled into the water and gasped for air. 6. My cousin joked about landing on the cake.,"[1, 2, 3, 4, 5, 6]",summary_gpt4o_6_3,6
