segment_id,segment_text,p-caught
1,My daughter died.,95.05%
2,It’ll be twenty-eight years this month.,96.04%
3,"The thirtieth of this month, yeah.",73.27%
4,She died at Methodist Hospital.,54.46%
5,She had an operation for appendicitis.,97.03%
6,"It was late Saturday afternoon when they operated, very late.",39.60%
7,"Sunday morning, my oldest daughter, Victoria, went to the hospital to see how she was.",55.45%
8,She was still under ether.,49.50%
9,"Back then, they used a lot of ether.",37.62%
10,There was a chair there.,11.88%
11,"They were just starting to get people out of bed, you know.",79.21%
12,"So, Victoria saw the chair,",44.55%
13,"and she said to the nurse, “What’s this chair doing here?”",46.53%
14,"The nurse said, “Well, we’ve got to get her out of bed.”",80.20%
15,"She said, “What are you talking about? She’s still under ether.”",59.41%
16,“She’s too sick.”,39.60%
17,"But the nurse said, “Well, that’s the doctor’s orders.”",59.41%
18,"So, they went to get her out of bed,",67.33%
19,"and she passed out,",64.36%
20,and they had to put her back in bed.,33.66%
21,"See, here, she never – I don’t know if they knew or what,",35.64%
22,"but I blame them for the blood clot she got, taking her out of bed.",80.20%
23,"So, when she was walking around to come home after ten days,",45.54%
24,I was waiting for the call from the hospital.,91.09%
25,I didn’t have a phone then.,19.80%
26,"The lady from the store who had a phone called me, “Mrs. Costa,” at aquarter to five at night.",70.30%
27,"“Mrs. Costa, they just called you from the hospital.",48.51%
28,Go Pick Marie up.,83.17%
29,She’s discharged.”,13.86%
30,I had all the clothes laid out on the table.,33.66%
31,"And Rita was – I was cooking,",26.73%
32,"I said, “Rita, finish the cooking.”",18.81%
33,Daddy will be home soon.”,18.81%
34,He was working down in the yard.,16.83%
35,"I said, “And put a big pot of coffee on,” because she had been wishing for coffee.",26.73%
36,"And you know, every morning, that first cup of coffee, I offered it to her.",19.80%
37,"When I get up in the morning, the first cup is hers.",19.80%
38,"Since she’s gone, I never forget that.",23.76%
39,"So I said, “Put a pot of coffee on,",21.78%
40,and send for some cake from the bakery.”,17.82%
41,I’m going to get Marie; they called me.”,27.72%
42,"“All right, mother, go ahead,” she said, “I’ll finish up.”",12.87%
43,"And I went myself. You know, I had the coat on my arm.",29.70%
44,She was operated on in March –,46.53%
45,"No, April! So that was the thirtieth.",66.34%
46,"She was operated – ten days before, so that would be the twentieth.",49.50%
47,"The twentieth of April, right? It was kind of chilly.",9.90%
48,"Oh, and I had everything in a bag,",16.83%
49,and I had the coat on my arm and her dress hanging on my arm.,18.81%
50,"She saw me from the windows, from Wolf Street.",17.82%
51,"She said, “My mother’s just coming.”",8.91%
52,"She was with the girls, saying goodbye to everyone – you know how it is.",8.91%
53,"They told me on the phone, it would be ten dollars more for her board.",8.91%
54,And to make sure I brought her girdle to put on.,8.91%
55,"I said, “All right, I’ll be right over.”",8.91%
56,And I went.,39.60%
57,"But when I got there, the nurse said to me, “Sit down, Mrs. Costa, sit here for a while.”",92.08%
58,"So I sat down, and I was praying for another lady in the hospital that had an operation for her gall bladder.",15.84%
59,"She lived near my sister, and she had ten children.",10.89%
60,They had said she was in very bad shape.,13.86%
61,"I prayed, “Oh dear God, don’t take that mother away from her children.”",11.88%
62,"I was praying for her, you know.",8.91%
63,Then a little nurse’s aide went to the closet and got some blankets.,10.89%
64,"I started getting the chills,",26.73%
65,"and I was thinking about it,",13.86%
66,"when the aide said to the nurse, “Oh, she’s going into a cold sweat now.”",43.56%
67,"The nurse hung up the phone and came to me. She said, “Mrs. Costa, has your daughter ever had a fainting spell?”",38.61%
68,"“Oh my God!” I said, “Don’t tell me you’re running for my daughter!”",34.65%
69,"“Yes,” she said, “come on in.”",20.79%
70,"So, I went into the room.",43.56%
71,And my daughter was on the bed with her bedroom slippers and her housecoat on.,55.45%
72,"And the beads of sweat – honest to God, not to exaggerate, they were that big.",83.17%
73,It came – just poured from her –,38.61%
74,"I said, “What did you do, kill my daughter?",80.20%
75,You killed her! You killed her!”,57.43%
76,That’s what I kept yelling.,62.38%
77,"And the doctor rushed in,",17.82%
78,"see, they were trying to get the doctor, you know.",16.83%
79,She was a lady doctor.,16.83%
80,"Dr. Schwartz actually did the operation, but she was his assistant, Dr. Montique.",18.81%
81,She was a lady doctor.,17.82%
82,"So, she came in and she said –",14.85%
83,"I said, “You killed my daughter – what did you do to her?”",71.29%
84,"She said, “We don’t know what happened, Mrs. Costa.”",44.55%
85,She took me away from the bed.,14.85%
86,"The nurse said to me, “Talk to her.”",16.83%
87,"I said, “Talk to her? My daughter’s dying, what am I supposed to tell her?”",25.74%
88,And I was screaming.,76.24%
89,My hair was all pulled out.,41.58%
90,"I went hysterical, you know what I mean? She was only eighteen years old.",79.21%
91,"Beautiful girl, you can see from her picture.",20.79%
92,"And just as I turned my back, my daughter passed away.",68.32%
93,She was getting ready to go home.,32.67%
94,I had the clothes and everything ready.,29.70%
95,My husband was waiting for her.,30.69%
96,"He came home, went upstairs to shave and wash, then sat on the step, waiting.",30.69%
97,“When is the mother coming?”,26.73%
98,The hospital kept calling.,24.75%
99,The people in the office didn’t know what had happened yet.,27.72%
100,"They kept calling the store, trying to reach us.",27.72%
101,"They asked, “When is the mother coming to pick up Marie?",26.73%
102,She’s discharged.”,25.74%
103,"And Rita said “That’s strange, the mother went to the hospital. She should be there.”",28.71%
104,So they came back to the hospital to look for us.,26.73%
105,"Rita said, “Gee, that’s strange,”",27.72%
106,"she said, “Mother must’ve gotten really worked up about Marie.”",26.73%
107,"You know, I’ve always had a bad heart.",23.76%
108,"“Mother must’ve gotten so upset about Marie, she probably made herself sick,” Rita thought.",28.71%
109,"So she came over with my son-in-law, in the car.",25.74%
110,"And I was in the main hallway, at the office.",24.75%
111,I was all pulled apart.,30.69%
112,One doctor wanted to give me a shot.,29.70%
113,"I said, “Get out of here,",37.62%
114,"I’ll kick you,” I said.",53.47%
115,"“You killed my daughter, now you want to kill me?”",46.53%
116,Another nurse came over.,32.67%
117,"See, they all knew me.",22.77%
118,"I had three operations in no time, not even a year.",22.77%
119,And I knew all the nurses.,22.77%
120,"“Mrs. Costa, please, take –”",39.60%
121,"“Get out!” I said, “Don’t you dare come near me.”",40.59%
122,I was so hysterical.,69.31%
123,I was banging my head against the wall and everything.,69.31%
124,They had to grab me.,48.51%
125,"Then they brought me to the office, see.",25.74%
126,"When Rita came in and saw me like that, she asked, “Mother, what happened?”",36.63%
127,"I said, “We lost Marie.",35.64%
128,Marie died.”,51.49%
129,"Well, that’s this one. This is a picture of Rita.",20.79%
130,She went down like lightning.,45.54%
131,"Dropped to the floor, and that’s a marble floor.",42.57%
132,She went down like lightning.,35.64%
133,"And the back of her leg, it felt just like a pole.",41.58%
134,"Hard like a pole, the back of her leg.",32.67%
135,And that girl is suffering.,35.64%
136,"Thirty – no, twenty-eight years since her sister died?",51.49%
137,"When she gets that pain, it’s like she has phlebitis from it.",52.48%
138,"She suffers – seven, eight, nine weeks at a time.",57.43%
139,"She can’t walk, she goes through such pain since then.",44.55%
140,And how did they figure how Marie died?,24.75%
141,"The girl who was walking with Marie,",23.76%
142,told the doctor that Marie was saying goodbye to Arlene.,23.76%
143,"And all Marie said to that girl was, “Oh, I’ve got a pain in my leg and I can’t see.”",24.75%
144,And then Marie collapsed.,29.70%
145,"Later, they said it was a blood clot.",61.39%
146,"I said, “Don’t you dare touch my daughter.",38.61%
147,I’ll burn this hospital down!,40.59%
148,I don’t care who’s in it.”,38.61%
149,"I said, “Don’t you dare touch my daughter.",40.59%
150,You want to find out what she died from.”,41.58%
151,"But if you touch my daughter, I’ll kill you.”",35.64%
152,I wouldn’t let them touch her.,22.77%
153,So when I got home – they took me home.,22.77%
154,I was screaming in the car.,25.74%
155,"I couldn’t get out, you know, I couldn’t –",24.75%
156,I was screaming!,25.74%
157,"Everybody came out, coming out of their doors because they could hear the screams.",21.78%
158,My husband was sitting on the step.,21.78%
159,"He asked, “What’s the matter? What happened to you?”",21.78%
160,"Well, my hair was all pulled, and my face – I was a mess.",26.73%
161,I didn’t know what I had done to myself.,21.78%
162,"I said, “Mike, we lost Marie. Marie died.” It was just a shock.",65.35%
163,My husband had a heart attack.,64.36%
164,"Yes, he had a heart attack.",39.60%
165,"Then my son, Michael, yeah. That night.",40.59%
166,"Right there, my Michael came, and my Michael collapsed.",63.37%
167,"He had a heart attack too, no kidding.",41.58%
168,"It was all – my two sisters were here, waiting until about half-past four.",27.72%
169,"They waited because they knew she was coming home that day, waiting for the call.",27.72%
170,"My younger sister had brought an orange for Marie, and I had never seen an orange like it. It was a big orange, like that.",26.73%
171,"She said, “Mary, look, when they call you, when you pick Marie up, let us know, and we’ll come over.”",26.73%
172,"I said, “All right.”",26.73%
173,"So, I got home and called everybody, told them what happened.",28.71%
174,I called my brother-in-law.,26.73%
175,He was an undertaker.,26.73%
176,My sister’s husband – he’s passed away now too. God rest his soul.,26.73%
177,Maybe you know him...,26.73%
178,"So they were waiting for my call, you know,",27.72%
179,"but instead, I sent my son James, he was little then.",27.72%
180,"I said, “Go tell Aunt Millie and Aunt Jenny.”",27.72%
181,"They had cleaned the pavement,",27.72%
182,"and done the cement work, and they were cleaning the pavement.",27.72%
183,"They said, “Here comes little Jamie,” and now they said,",27.72%
184,“Maybe he’s come to tell us Marie’s home.”,27.72%
