recall_id,keypoints,attempt,summary_text,segment_ids,correlation
summary_gpt4o_4_5.json,4,5,1. My best friend pushed me into the pool. 2. The push happened during my cousin's wedding reception. 3. She was trying to save me from a bee near my face. 4. My cousin mentioned I almost landed on the cake.,"[1, 11, 12, 2, 5, 7, 18]",0.8696
summary_gpt4o_6_8.json,6,8,"1. My best friend pushed me into the pool. 2. This happened during my cousin's wedding reception. 3. She spotted a bee hovering near my face. 4. My aunt had just handed me a glass of champagne. 5. My friend shoved me, and I tumbled into the water. 6. My cousin joked about how close I was to landing on the cake.","[1, 2, 5, 7, 8, 11, 12, 18]",0.8576
summary_gpt4o_6_1.json,6,1,1. My best friend pushed me into the pool. 2. This happened during my cousin's wedding reception. 3. My friend spotted a bee near my face. 4. My aunt handed me a glass of champagne. 5. I tumbled into the water after a little shove. 6. My cousin joked about landing on the cake.,"[1, 2, 5, 7, 8, 11, 12, 18]",0.8576
summary_gpt4o_4_2.json,4,2,"1. My best friend pushed me into the pool. 2. She tried to save me from a bee near my face. 3. I fell into the water, ruining my dress during the wedding reception. 4. My cousin joked about how close I was to landing on the cake.","[1, 11, 12, 5, 7, 2, 3, 16, 18]",0.8167
summary_gpt4o_6_6.json,6,6,"1. My best friend pushed me into the pool. 2. This happened during my cousin's wedding reception. 3. She saw a bee near my face and tried to save me. 4. My aunt had just given me a glass of champagne. 5. I fell into the water, and my friend laughed. 6. My cousin joked I almost landed on the cake.","[1, 11, 12, 2, 5, 7, 8, 13, 14, 18]",0.8101
summary_gpt4o_6_4.json,6,4,"1. My best friend pushed me into the pool. 2. This occurred at my cousin's wedding reception. 3. She pushed me because a bee was near my face. 4. I was holding a glass of champagne at that time. 5. I resurfaced, and my friend apologized while laughing. 6. My dress was ruined, but I narrowly missed the cake.","[1, 11, 12, 2, 5, 7, 8, 13, 14, 15, 16, 18]",0.7785
summary_gpt4o_5_5.json,5,5,"1. My best friend pushed me into the pool. 2. This happened at my cousin's wedding reception. 3. She pushed me to save me from a bee near my face. 4. I was holding a glass of champagne when it happened. 5. We laughed about it, but my dress was ruined.","[1, 11, 12, 2, 5, 7, 8, 14, 16]",0.7766
summary_gpt4o_7_4.json,7,4,"1. My best friend pushed me into the pool. 2. This happened during my cousin's wedding reception. 3. She spotted a bee near my face and tried to save me. 4. I had just been handed a glass of champagne. 5. My friend gave me a shove, and I fell into the water. 6. She laughed and apologized when I resurfaced. 7. My cousin joked I nearly landed on the cake.","[1, 2, 5, 7, 8, 11, 12, 14, 15, 18]",0.7618
summary_gpt4o_5_4.json,5,4,1. My best friend pushed me into the pool. 2. This happened at my cousin's wedding reception in a fancy hotel garden. 3. She tried to save me from a bee hovering near my face. 4. I was holding a glass of champagne when she shoved me. 5. My cousin joked that I almost landed on the cake.,"[1, 11, 12, 2, 6, 5, 7, 8, 18]",0.7526
summary_gpt4o_3_8.json,3,8,"1. I fell into the pool at my cousin's wedding. 2. My best friend pushed me because of a bee near my face. 3. My beautiful dress was ruined, and I almost landed on the cake.","[2, 12, 1, 4, 5, 7, 11, 16, 18]",0.7526
