segment_id,segment_text,p-caught
1,"Yeah, I was in the boy scouts at the time.",85.00%
2,"And we was doing the 50-yard dash,",100.00%
3,"racing,",72.00%
4,"but we was at the pier, marked off,",77.00%
5,and so we was doing the 50-yard dash.,96.00%
6,"There was about 8 or 9 of us, you know, going down, coming back.",97.00%
7,"And, going down the third time, I caught cramps",100.00%
8,"and I started yelling ""Help!"",",100.00%
9,"but the fellows didn't believe me, you know.",100.00%
10,"They thought I was just trying to catch up, because I was going on or slowing down.",100.00%
11,So all of them kept going.,96.00%
12,They leave me.,76.00%
13,And so I started going down.,50.00%
14,Scoutmaster was up there.,100.00%
15,He was watching me.,91.00%
16,But he didn't pay me no attention either.,93.00%
17,"And for no reason at all there was another guy, who had just walked up that minute...",100.00%
18,He just jumped over,98.00%
19,and grabbed me.,100.00%
