segment_id,segment_text,p-caught
1,My best friend pushed me into the pool.,97.25%
2,"This happened during my cousin's wedding reception,",93.58%
3,where everyone was dressed to impress.,40.37%
4,"And the reason it happened,",39.45%
5,"she spotted a bee hovering near my face,",100.00%
6,- this was at a fancy hotel garden -,75.23%
7,and she tried to save me from being stung.,99.08%
8,"And my aunt had just handed me a glass of champagne,",100.00%
9,and I warned her to be careful.,76.15%
10,"'Course friends, y'know, they don't always think things through.",57.80%
11,"So that's when she gave me a little shove,",93.58%
12,and I tumbled into the water.,96.33%
13,"When I resurfaced, gasping for air,",88.07%
14,"she just started laughing,",100.00%
15,and she apologized profusely.,100.00%
16,"And... my beautiful dress was ruined,",98.17%
17,"and naturally, the first thing to do was to get out and dry off,",7.34%
18,"and my cousin just says, ""Just about a few inches more,"" she says, ""and you'd have landed on the cake.""",100.00%
