recall_id,keypoints,attempt,summary_text,segment_ids,correlation
summary_gpt4o_12_2.json,12,2,1. I was in the boy scouts. 2. We were doing the 50-yard dash. 3. The race was at the pier. 4. There were about eight or nine of us racing. 5. I caught cramps on the third round. 6. I started yelling for help. 7. The fellows didn't believe me. 8. They thought I was slowing down to catch up. 9. Everyone else kept going. 10. The scoutmaster was watching me. 11. He didn't pay me any attention. 12. A guy who just walked up jumped in to grab me.,"[1, 2, 5, 4, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19]",0.7741
summary_gpt4o_6_3.json,6,3,1. I was in boy scouts doing a 50-yard dash at the pier. 2. There were about 8 or 9 of us racing. 3. I caught cramps and started yelling for help. 4. The fellows thought I was pretending and kept going. 5. The scoutmaster didn't pay me any attention. 6. A guy suddenly appeared and jumped in to grab me.,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19]",0.7741
summary_gpt4o_6_5.json,6,5,"1. I was in the boy scouts competing in a 50-yard dash at the pier. 2. I was racing with about 8 or 9 other boys. 3. During the third run, I caught cramps and started yelling for help. 4. The other boys thought I was pretending and kept running. 5. The scoutmaster saw me but ignored my cries. 6. A stranger jumped over and rescued me.","[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19]",0.7741
summary_gpt4o_13_8.json,13,8,1. I was in the boy scouts. 2. We were doing the 50-yard dash. 3. We were at the pier. 4. There were about 8 or 9 of us racing. 5. I caught cramps the third time down. 6. I started yelling for help. 7. The fellows didn't believe I was in trouble. 8. They thought I was trying to catch up. 9. All the fellows kept going. 10. The scoutmaster was watching me. 11. The scoutmaster didn't pay me any attention. 12. Another guy walked up suddenly. 13. The other guy jumped in and grabbed me.,"[1, 2, 5, 4, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19]",0.7741
summary_gpt4o_6_4.json,6,4,"1. I was participating in the boy scouts 50-yard dash. 2. There were about 8 or 9 of us racing on the pier. 3. On the third round, I caught cramps and yelled for help. 4. The other fellows thought I was just trying to catch up. 5. The scoutmaster didn't pay me any attention. 6. A guy who just arrived jumped in and saved me.","[1, 2, 5, 4, 6, 7, 8, 9, 10, 14, 15, 16, 17, 18, 19]",0.7648
summary_gpt4o_7_3.json,7,3,"1. I was in the boy scouts. 2. We were doing the 50-yard dash at the pier. 3. About 8 or 9 of us were racing. 4. I caught cramps during the third dash. 5. I yelled for help, but no one believed me. 6. The scoutmaster did not notice my distress. 7. A guy showed up and jumped in to save me.","[1, 2, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17, 18, 19]",0.7081
summary_gpt4o_7_7.json,7,7,1. I was in the boy scouts. 2. We were doing a 50-yard dash at the pier. 3. There were about 8 or 9 of us racing back and forth. 4. I caught cramps and started yelling for help. 5. My fellow scouts didn't believe I needed help. 6. The scoutmaster was watching but didn't help me. 7. A guy jumped over and saved me.,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19]",0.7058
summary_gpt4o_9_7.json,9,7,1. I was in the boy scouts during the 50-yard dash race. 2. There were about 8 or 9 of us racing near the pier. 3. I caught cramps while running the race. 4. I started yelling 'Help!' when I was in pain. 5. The other fellows did not believe my cries for help. 6. They thought I was just trying to catch up in the race. 7. The scoutmaster saw me but ignored my cries. 8. Another guy suddenly appeared and jumped in to help me. 9. That guy grabbed me and saved me from drowning.,"[1, 2, 5, 3, 4, 6, 7, 8, 9, 11, 10, 14, 15, 16, 17, 18, 19]",0.7058
summary_gpt4o_5_5.json,5,5,"1. I participated in the 50-yard dash at the pier with the boy scouts. 2. While racing, I got cramps and cried for help. 3. My fellow racers thought I was faking it and didn't stop. 4. The scoutmaster saw me but ignored my cries. 5. A newcomer jumped in and rescued me.","[1, 2, 4, 5, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19]",0.6762
summary_gpt4o_5_7.json,5,7,1. I participated in a 50-yard dash with the boy scouts at the pier. 2. I got cramps during the third run and yelled for help. 3. The other boys thought I was joking and kept running. 4. The scoutmaster noticed me but didn't help. 5. A stranger jumped in and saved me.,"[1, 2, 4, 5, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19]",0.6762
