segment_id,segment_text,p-caught
1,My best friend pushed me into the lake.,82.08%
2,This happened during our annual summer camping trip,91.51%
3,and we were enjoying a peaceful afternoon.,85.85%
4,"The reason it all began,",6.60%
5,she spotted a frog near the water's edge or,100.00%
6,- this was at our favorite spot in the woods -,51.89%
7,and she dared me to catch it.,100.00%
8,I had just sat down to eat my sandwich,100.00%
9,and I told her I wasn't interested.,100.00%
10,"'Course friends, y'know, they don't always take no for an answer.",86.79%
11,So that's when she snuck up behind me,100.00%
12,and gave me a little nudge.,100.00%
13,"When I emerged from the water, there was a frog on the shore,",99.06%
14,she just scooped it up,97.17%
15,and handed it to me.,100.00%
16,And . . .; I couldn't help but laugh – uncontrollably.,100.00%
17,"And naturally, the first thing to do was to get revenge,",86.79%
18,"and I said, ""Just you wait,"" I said, ""you'll get yours soon enough.""",100.00%
