segment_id,segment_text,p-caught
1,"In the neighborhood I grew up in, Mrs. Baker was the resident cat lady.",100.00%
2,She had adopted at least twenty –,90.74%
3,or had given them homes.,78.70%
4,But she had – a young grandson,95.37%
5,and back then I was quite the tomboy.,57.41%
6,"And apparently, he was trying to befriend me.",100.00%
7,I never caught on.,89.81%
8,Truth is I didn't take to him much because he had –,98.15%
9,He was a charming lad until you saw his manners.,99.07%
10,He had poor manners.,99.07%
11,Goodness gracious he had poor manners.,99.07%
12,Then he left a note one day saying he was going to run away because she was always nagging about me.,100.00%
13,She came to my treehouse.,100.00%
14,Big old tabby cat in tow.,100.00%
15,I talked her down,99.07%
16,and said “Well we'll go find him,99.07%
17,"and if we can't locate him, you can – go ahead and call the police if you need to.”",91.67%
18,I was strategizing.,75.93%
19,So she took my advice.,84.26%
20,And we went to where they found his baseball cap – near the old mill,100.00%
21,and we trailed a bit more,90.74%
22,and we didn't find a trace.,99.07%
23,And returned,98.15%
24,– it was a treehouse club –,95.37%
25,he was sitting on a branch with a comic book in his hand.,99.07%
26,He hadn't run away.,79.63%
27,But – however – that resolved it for that day.,10.19%
28,"But that evening the local sheriff, Officer Dawson said “You better lay low and stay out of sight because that woman never forgets anything once she gets it into her mind.”",100.00%
29,And I did.,89.81%
30,I laid low,88.89%
31,and stayed out of sight.,89.81%
32,That was the second time.,0.00%
