recall_id,clause_id,clause_text
63d6a3801634565eb6a3819f,1,it was their rookie year
63d6a3801634565eb6a3819f,2,and the chiefs daughter took an interest in them.
63d6a3801634565eb6a3819f,3,"she said she was going to run away,"
63d6a3801634565eb6a3819f,4,the chief came to their house
63d6a3801634565eb6a3819f,5,and they went to a place when her scarf was found.
63d6a3801634565eb6a3819f,6,They ended up finding her at the police station.
63d6a3801634565eb6a3819f,7,The chief advised them to transfer to another department
63d6a3801634565eb6a3819f,8,as he never forgets.
63d6a3801634565eb6a3819f,9,that's what he did.
64147bd031fe8ffa29c456ed,1,"In a boy's town,"
64147bd031fe8ffa29c456ed,2,"the chief had a granddaughter,"
64147bd031fe8ffa29c456ed,3,"who a while ago tried to make a move on him,"
64147bd031fe8ffa29c456ed,4,but he did not realise that at first.
64147bd031fe8ffa29c456ed,5,"He also wasn't overly fond of her,"
64147bd031fe8ffa29c456ed,6,due to her being quite the chatterbox.
64147bd031fe8ffa29c456ed,7,"He thought she went missing,"
64147bd031fe8ffa29c456ed,8,"but she was in fact just sat the police station,"
64147bd031fe8ffa29c456ed,9,with a book in hand.
64147bd031fe8ffa29c456ed,10,"The boy transferred from the town away,"
64147bd031fe8ffa29c456ed,11,due to this incident.
5f58c945b5424a055aad846b,1,Rookie in police force.
5f58c945b5424a055aad846b,2,Leader was a veteran
5f58c945b5424a055aad846b,3,and had been awarded for bravery.
5f58c945b5424a055aad846b,4,He has a daughter
5f58c945b5424a055aad846b,5,who was impressed by my fitness.
5f58c945b5424a055aad846b,6,She went missing
5f58c945b5424a055aad846b,7,I was strategizing.
5f58c945b5424a055aad846b,8,Looked everywhere
5f58c945b5424a055aad846b,9,and where her scarf was.
5f58c945b5424a055aad846b,10,Going to call the police
5f58c945b5424a055aad846b,11,but found her back at the police station reading a book.
5f58c945b5424a055aad846b,12,Other police officer advised me to leave
5f58c945b5424a055aad846b,13,as the old man never forgot anything.
5f58c945b5424a055aad846b,14,She that's what I did - leave
5f58c945b5424a055aad846b,15,and it was the end of my rookie year.
5cf6ad46041d260015e5d794,1,Rookie police officer falls for the old police chief's daughter.
5cf6ad46041d260015e5d794,2,She likes fitness.
5cf6ad46041d260015e5d794,3,She gets in trouble at home for dating the rookie.
5cf6ad46041d260015e5d794,4,She appears to run away.
5cf6ad46041d260015e5d794,5,"The rookie and chief look for her,"
5cf6ad46041d260015e5d794,6,using a lost scarf near a park as a starting point.
5cf6ad46041d260015e5d794,7,"They find her reading a book in a police station,"
5cf6ad46041d260015e5d794,8,she hadn't run away.
5cf6ad46041d260015e5d794,9,"The deputy suggests that the rookie should transfer,"
5cf6ad46041d260015e5d794,10,which he does.
5fff11332f30d263176fa57f,1,In my rookie year
5fff11332f30d263176fa57f,2,the chief was a veteran.
5fff11332f30d263176fa57f,3,He had a daughter.
5fff11332f30d263176fa57f,4,I was a fitness enthusiast.
5fff11332f30d263176fa57f,5,She had a thing for me.
5fff11332f30d263176fa57f,6,But boy could she talk.
5fff11332f30d263176fa57f,7,The chief scolded her for her attention towards me.
5fff11332f30d263176fa57f,8,One day she messaged about running away.
5fff11332f30d263176fa57f,9,"The chief came to my house angry,"
5fff11332f30d263176fa57f,10,i managed to talk him down
5fff11332f30d263176fa57f,11,and said look lets go to where she was last seen.
5fff11332f30d263176fa57f,12,We went to the park
5fff11332f30d263176fa57f,13,and found her scarf.
5fff11332f30d263176fa57f,14,Then went to the police station
5fff11332f30d263176fa57f,15,and she was there reading a book.
5fff11332f30d263176fa57f,16,She hadn't run away at all.
5fff11332f30d263176fa57f,17,"The deputy chief, frank mitchell, told me to transfer away"
5fff11332f30d263176fa57f,18,as the old man never forgets these things.
5fff11332f30d263176fa57f,19,So i did transfer
5fff11332f30d263176fa57f,20,and that was the end of my rookie year.
5ef4ceca768a610b600ee1fb,1,"Back in the days when I as a rookie on the police force,"
5ef4ceca768a610b600ee1fb,2,I had a commander.
5ef4ceca768a610b600ee1fb,3,He was a veteran.
5ef4ceca768a610b600ee1fb,4,He had caught a notorious criminal.
5ef4ceca768a610b600ee1fb,5,He had a daughter.
5ef4ceca768a610b600ee1fb,6,I thought she was into me because I was into fitness.
5ef4ceca768a610b600ee1fb,7,I never observed it.
5ef4ceca768a610b600ee1fb,8,I wasn't much fond of her because she was a chatterbox.
5ef4ceca768a610b600ee1fb,9,She wanted to run away because her dad always scolded her.
5ef4ceca768a610b600ee1fb,10,Then she did.
5ef4ceca768a610b600ee1fb,11,The commander came to my house with a cold look in his eyes.
5ef4ceca768a610b600ee1fb,12,He wanted to know what happened to his daughter.
5ef4ceca768a610b600ee1fb,13,"""Lets go look for her"", I said."
5ef4ceca768a610b600ee1fb,14,I was strategizing.
5ef4ceca768a610b600ee1fb,15,"So, we went to the park where her scarf was found."
5ef4ceca768a610b600ee1fb,16,"Then, it led back to a police station, where she was sitting with a book."
5ef4ceca768a610b600ee1fb,17,"She had never run away, and that solved the problem for that day."
5ef4ceca768a610b600ee1fb,18,"That evening, a supervisor on the force, Frank Mitchell, said to me, ""You need to transfer, once that old man gets something in his head it never leaves""."
5ef4ceca768a610b600ee1fb,19,So I did it.
5ef4ceca768a610b600ee1fb,20,I transferred.
5ef4ceca768a610b600ee1fb,21,And that was the end of the story from my days as a rookie on the force.
5ec848e98af2e014101df8e5,1,When I was a rookie police officer
5ec848e98af2e014101df8e5,2,my chief was a big deal.
5ec848e98af2e014101df8e5,3,He had been awarded for catching a big criminal.
5ec848e98af2e014101df8e5,4,I was a big fitness enthusiast back in those days.
