segment_id,segment_text,p-caught
1,My daughter died.,80.20%
2,It’ll be twenty-eight years this month.,88.12%
3,"The thirtieth of this month, yeah.",54.46%
4,She died at Methodist Hospital.,67.33%
5,She had an operation for appendicitis.,89.11%
6,"It was late Saturday afternoon when they operated, very late.",69.31%
7,"Sunday morning, my oldest daughter, Victoria, went to the hospital to see how she was.",80.20%
8,She was still under ether.,88.12%
9,"Back then, they used a lot of ether.",61.39%
10,There was a chair there.,28.71%
11,"They were just starting to get people out of bed, you know.",77.23%
12,"So, Victoria saw the chair,",22.77%
13,"and she said to the nurse, “What’s this chair doing here?”",52.48%
14,"The nurse said, “Well, we’ve got to get her out of bed.”",77.23%
15,"She said, “What are you talking about? She’s still under ether.”",68.32%
16,“She’s too sick.”,9.90%
17,"But the nurse said, “Well, that’s the doctor’s orders.”",69.31%
18,"So, they went to get her out of bed,",76.24%
19,"and she passed out,",83.17%
20,and they had to put her back in bed.,70.30%
21,"See, here, she never – I don’t know if they knew or what,",6.93%
22,"but I blame them for the blood clot she got, taking her out of bed.",83.17%
23,"So, when she was walking around to come home after ten days,",14.85%
24,I was waiting for the call from the hospital.,80.20%
25,I didn’t have a phone then.,35.64%
26,"The lady from the store who had a phone called me, “Mrs. Costa,” at aquarter to five at night.",91.09%
27,"“Mrs. Costa, they just called you from the hospital.",86.14%
28,Go Pick Marie up.,88.12%
29,She’s discharged.”,24.75%
30,I had all the clothes laid out on the table.,71.29%
31,"And Rita was – I was cooking,",74.26%
32,"I said, “Rita, finish the cooking.”",64.36%
33,Daddy will be home soon.”,11.88%
34,He was working down in the yard.,10.89%
35,"I said, “And put a big pot of coffee on,” because she had been wishing for coffee.",88.12%
36,"And you know, every morning, that first cup of coffee, I offered it to her.",73.27%
37,"When I get up in the morning, the first cup is hers.",54.46%
38,"Since she’s gone, I never forget that.",28.71%
39,"So I said, “Put a pot of coffee on,",43.56%
40,and send for some cake from the bakery.”,12.87%
41,I’m going to get Marie; they called me.”,18.81%
42,"“All right, mother, go ahead,” she said, “I’ll finish up.”",9.90%
43,"And I went myself. You know, I had the coat on my arm.",23.76%
