segment_id,segment_text,p-caught
1,About a month ago see we were going to a church league softball game...,100.00%
2,They'd had the games all scheduled for the diamond at Homestead High School.,100.00%
3,You know where that's at?,0.85%
4,"Well we're going up Twenty­-four,",98.31%
5,"and getting ready to turn there, at Ranch Eggs,",99.15%
6,"and I was slowing down,",41.53%
7,"got my turn signal on,",43.22%
8,"and as I was slowing down,",31.36%
9,"there's this guy sitting over here to the right,",94.92%
10,coming on to Twenty­-four.,27.12%
11,Looked like he's about in his middle fifties.,98.31%
12,And he starts creeping out onto Twenty-four,69.49%
13,"and he's blocking off the lane,",100.00%
14,and he's heading for the same spot that I'm going.,10.17%
15,You know how you sit there and wait for the traffic to get by?,4.24%
16,Right there in the median?,9.32%
17,"This guy starts,",0.00%
18,"pulls out in the lane,",21.19%
19,"I thought ""you jerk""...",20.34%
20,but I hurried up and got in there ahead of him.,100.00%
21,And he sits there and waits on.,98.31%
22,Mean he's got Twenty­-four blocked.,97.46%
23,He's sitting there right in the middle of the highway.,100.00%
24,Got it blocked.,91.53%
25,"So we went on across as soon as traffic cleared,",51.69%
26,"and we're headed up there towards that diamond,",43.22%
27,"and it's about ... maybe mile, two miles... north of Twenty­-four on Aboite Center,",96.61%
28,"and this guy's following us see,",99.15%
29,as we're going up there this little hill right there.,25.42%
30,At Ranch Eggs.,73.73%
31,"We're going up this hill,",16.95%
32,and this guy's right on my tail.,82.20%
33,"And Lisa was with me,",68.64%
34,and she said “That guy is right on your tail!”,88.14%
35,"I looked in the mirror and sure enough he's right up there practically bumper to bumper,",38.98%
36,"and I'm trying to keep an eye on him,",6.78%
37,make sure he doesn't slam into me or anything.,8.47%
38,"He starts weaving back and forth,",94.92%
39,couldn't keep it in one lane.,74.58%
40,Really ...bad news.,1.69%
41,And all the time this is going on...,4.24%
42,I'm thinking how drunk driving is the number one killer of kids and all this business.,89.83%
43,How it's everybody's responsibility.,4.24%
44,So I was trying to make up my mind what to do.,22.03%
45,I was pretty sure he was drunk...,92.37%
46,at least he appeared that way...,89.83%
47,"so I figured that when we get up to this stop sign I'm going to go back and find out what his problem is,",32.20%
48,"'cause I'm thinking he's drunk,",9.32%
49,"and I know I oughta do something about it,",4.24%
50,"but at the same time if he's sick,",11.02%
51,"like maybe he's having a heart attack or something,",8.47%
52,you know.,1.69%
53,You gotta do something.,2.54%
54,"I'd really feel bad if I read the papers the next day that the guy,",1.69%
55,some guy died with a heart attack and there I was thinking he was drunk.,1.69%
56,And I didn't really want to get involved to be honest with you.,3.39%
57,"But I had made up my mind that I was going to,",5.08%
58,"so we pulled up to the stop at this sign,",94.07%
59,and right across the road stopped a sheriff's car.,100.00%
60,"So I motion for him to come over,",75.42%
61,"and they whip across the road,",12.71%
62,"and I got out the car,",83.05%
63,"walked over there,",82.20%
64,"and said to this deputy “This guy behind me is either sick or he's drunk,",94.92%
65,but he's got a problem.,62.71%
66,He can't keep his car on one side of the road.”,82.20%
67,And I said “He's got a definite problem...”,22.88%
68,So they started down there.,45.76%
69,"And as soon as he sees me get out of the car and walk over there to the police car,",2.54%
70,the guy stops way far away from the intersection.,98.31%
71,"He stops,",22.88%
72,"and he throws his car into reverse,",100.00%
73,and starts backing up.,51.69%
74,"When the cops went down there to check him out,",90.68%
75,he starts backing up going backwards down that road.,59.32%
76,"Pretty soon they catch up with him,",61.02%
77,"and he starts forward again,",84.75%
78,"and they make a U­-turn in the road and start following him,",91.53%
79,and he's just driving real slow and careful.,57.63%
80,Ha ha it's pretty comical...,38.14%
81,I don't know if they ever stopped him or not.,94.07%
