recall_id,clause_id,clause_text
59566581a2372d0001289380,1,Mrs Barker had a grandson
59566581a2372d0001289380,2,and lots of cats
59566581a2372d0001289380,3,The grandson had very bad manners
59566581a2372d0001289380,4,He tried to be friend with me
59566581a2372d0001289380,5,One day he left a note
59566581a2372d0001289380,6,saying he would run away
59566581a2372d0001289380,7,Mrs Baker went looking for him at the factory
59566581a2372d0001289380,8,but he couldn't be found
59566581a2372d0001289380,9,and she would phone the police
59566581a2372d0001289380,10,Sheriff Dawson
59566581a2372d0001289380,11,He was found sitting on a tree branch
59566581a2372d0001289380,12,reading a comic
59566581a2372d0001289380,13,and hadn't run away
59566581a2372d0001289380,14,Sheriff Dawson said he should stay out of sight
59566581a2372d0001289380,15,as that woman doesn't forget a thing.
64147bd031fe8ffa29c456ed,1,"In a girl's town,"
64147bd031fe8ffa29c456ed,2,there was a cat lady
64147bd031fe8ffa29c456ed,3,who adopted or rehomed at least 20 cats.
64147bd031fe8ffa29c456ed,4,The cat lady had a grandson
64147bd031fe8ffa29c456ed,5,"with bad manners,"
64147bd031fe8ffa29c456ed,6,"who tried to befriend the girl,"
64147bd031fe8ffa29c456ed,7,but she never caught on.
64147bd031fe8ffa29c456ed,8,The girl thought the grandson had gone missing
64147bd031fe8ffa29c456ed,9,"because she didn't see him,"
64147bd031fe8ffa29c456ed,10,"so they searched for him,"
64147bd031fe8ffa29c456ed,11,"only to find him on a branch,"
64147bd031fe8ffa29c456ed,12,reading a comic.
5f58c945b5424a055aad846b,1,There was a cat lady.
5f58c945b5424a055aad846b,2,Her grandson was trying to befriend you.
5f58c945b5424a055aad846b,3,Grandson went missing -
5f58c945b5424a055aad846b,4,thought he was in a treehouse but not.
5f58c945b5424a055aad846b,5,Went searching for him and couldn't find a trace.
5f58c945b5424a055aad846b,6,However was back at the treehouse.
5f58c945b5424a055aad846b,7,Advised to lie low and avoid cat lady as she didn't forget things.
5f58c945b5424a055aad846b,8,Grandson had poor manners.
60fd2e75267ccd5042d6671f,1,There was a lady called Mrs. Baker
60fd2e75267ccd5042d6671f,2,who owned about 20 cats.
60fd2e75267ccd5042d6671f,3,She had a nephew or a son
60fd2e75267ccd5042d6671f,4,who liked the girl
60fd2e75267ccd5042d6671f,5,who was a tomboy.
60fd2e75267ccd5042d6671f,6,He was really rude.
60fd2e75267ccd5042d6671f,7,He said he would run away
60fd2e75267ccd5042d6671f,8,because of her
60fd2e75267ccd5042d6671f,9,and the girl and Mrs. Baker went to go find him
60fd2e75267ccd5042d6671f,10,and it turns out he didn't run away
60fd2e75267ccd5042d6671f,11,he was in a treehouse reading comic books.
60fd2e75267ccd5042d6671f,12,The sheriff told the girl to stay away
60fd2e75267ccd5042d6671f,13,because Mrs. Baker doesn't forget
60fd2e75267ccd5042d6671f,14,and so she did.
60fd2e75267ccd5042d6671f,15,That was the second time.
5f7f239e9b204e05b6c36538,1,"It my neighborhood there used to be a resident cat lady, Mrs Taylor."
5f7f239e9b204e05b6c36538,2,I was a bit of a tomboy back then
5f7f239e9b204e05b6c36538,3,and she was trying to befriend me
5f7f239e9b204e05b6c36538,4,but I didn't catch on.
5f7f239e9b204e05b6c36538,5,"She had a grandson who was very charming,"
5f7f239e9b204e05b6c36538,6,"however, he lacked manners."
5f7f239e9b204e05b6c36538,7,He had very bad manners.
5f7f239e9b204e05b6c36538,8,"One day in my tree house, he left a letter saying he's going to run away"
5f7f239e9b204e05b6c36538,9,cause she is always nagging him.
5f7f239e9b204e05b6c36538,10,I managed to convince her to not call the police
5f7f239e9b204e05b6c36538,11,and we went on to look for him.
5f7f239e9b204e05b6c36538,12,We found him at a tree house club.
5f7f239e9b204e05b6c36538,13,"He hadn't run away but had just,"
5f7f239e9b204e05b6c36538,14,that resolved that for one day.
5f7f239e9b204e05b6c36538,15,The deputy told me to lay low
5f7f239e9b204e05b6c36538,16,"cause that woman never forgets anything,"
5f7f239e9b204e05b6c36538,17,so I did lay low.
5cbc7935dc8a8900017390a2,1,Mrs baker once said.
5cbc7935dc8a8900017390a2,2,"I had a friend,"
5cbc7935dc8a8900017390a2,3,he didn't like his grandmother
5cbc7935dc8a8900017390a2,4,since she kept nagging me.
5cbc7935dc8a8900017390a2,5,"well we'll find him,"
5cbc7935dc8a8900017390a2,6,and if we don't
5cbc7935dc8a8900017390a2,7,you can - go to the police station.
5cbc7935dc8a8900017390a2,8,I was strategizing.
5cbc7935dc8a8900017390a2,9,There was a treehouse club.
60693e637bc58fc13d57b1a7,1,"The neighborhood I grew up in,"
60693e637bc58fc13d57b1a7,2,Mrs. Baker was the resident cat lady.
60693e637bc58fc13d57b1a7,3,She had adopted at least twenty -
60693e637bc58fc13d57b1a7,4,or had given them homes.
60693e637bc58fc13d57b1a7,5,but she -
60693e637bc58fc13d57b1a7,6,had a young grandson
60693e637bc58fc13d57b1a7,7,and back then I was quite the tomboy
60693e637bc58fc13d57b1a7,8,"and apparently, he was trying to befriend me."
60693e637bc58fc13d57b1a7,9,I never caught on.
60693e637bc58fc13d57b1a7,10,Truth is I didn't take to him much
60693e637bc58fc13d57b1a7,11,because he had poor manners.
60693e637bc58fc13d57b1a7,12,Goodness gracious he had poor names.
5ec848e98af2e014101df8e5,1,In the neighbourhood I grew up in
5ec848e98af2e014101df8e5,2,the resident cat lady was Mrs Baker.
5ec848e98af2e014101df8e5,3,She has 20 or so cats
5ec848e98af2e014101df8e5,4,she has given a home too.
5ec848e98af2e014101df8e5,5,She also had a grandson
5ec848e98af2e014101df8e5,6,who was about my age.
5ec848e98af2e014101df8e5,7,In those days I was quite the tomboy.
5ec848e98af2e014101df8e5,8,He wanted to be friends with me
5ec848e98af2e014101df8e5,9,but I wasn’t as keen.
5ec848e98af2e014101df8e5,10,He had very bad manners.
5ec848e98af2e014101df8e5,11,His grandmother wanted him to be friends with me too.
5ec848e98af2e014101df8e5,12,He said he would run away
5ec848e98af2e014101df8e5,13,if I wouldn’t be.
647b55736ed21af1c897158b,1,One day in my neighbourhood there lived an old lady called Mrs Baker.
647b55736ed21af1c897158b,2,She was a crazy cat lady.
647b55736ed21af1c897158b,3,"She had adopted twenty, or given them homes."
647b55736ed21af1c897158b,4,"She had a grandson who apparently liked me, although I never realised."
647b55736ed21af1c897158b,5,One day he ran away because I wasn’t interested in him.
647b55736ed21af1c897158b,6,The old lady came to see me and told me he had run away.
647b55736ed21af1c897158b,7,I said “we’d better go look for him” and so we did.
647b55736ed21af1c897158b,8,We went to the old mill and found his baseball cap but he wasn’t there.
647b55736ed21af1c897158b,9,We went to the treehouse clubhouse and found him there reading a comic.
647b55736ed21af1c897158b,10,I thought that was the end of it but the sheriff Officer Dawson came by and told me I’d better lay low because that old lady never forgets.
611641c6583d8bab5012dee0,1,"In my neighbourhood growing up,"
611641c6583d8bab5012dee0,2,"Mrs was the neighbourhood cat lady,"
611641c6583d8bab5012dee0,3,she had 20 cats
611641c6583d8bab5012dee0,4,or at least had provided homes for them.
611641c6583d8bab5012dee0,5,"Her grandson tried to befriend me,"
611641c6583d8bab5012dee0,6,"his manners were awful,"
611641c6583d8bab5012dee0,7,good gracious his manners were awful.
611641c6583d8bab5012dee0,8,"One day, she came to find me in my treehouse"
611641c6583d8bab5012dee0,9,to see if i knew where her grandson was.
611641c6583d8bab5012dee0,10,I said come with me to find him
611641c6583d8bab5012dee0,11,and if we don't find him then you can call the police.
611641c6583d8bab5012dee0,12,"We went to where his baseball cap was found,"
611641c6583d8bab5012dee0,13,"but he wasn't there,"
611641c6583d8bab5012dee0,14,but when we returned he was sat on a branch on the treehouse.
611641c6583d8bab5012dee0,15,The policeman told me to keep a low profile in future
