recall_id,clause_id,clause_text,rephrased_text
5422cca4fdf99b328c91b21b,1,"I was a rookie at the police station,","At the precinct, I was the new recruit,"
5422cca4fdf99b328c91b21b,2,and my chief inspector there was a powerful man.,with a commanding chief inspector overseeing me.
5422cca4fdf99b328c91b21b,3,He had a daughter,This chief had a daughter
5422cca4fdf99b328c91b21b,4,who was always trying to get my attention,"who frequently sought my notice,"
5422cca4fdf99b328c91b21b,5,"and to tell the truth,","and to be honest,"
5422cca4fdf99b328c91b21b,6,I was not interested.,she didn't catch my interest.
5422cca4fdf99b328c91b21b,7,"However she sent me a message,","Nonetheless, she messaged me one day,"
5422cca4fdf99b328c91b21b,8,"and then seemed to run away,","followed by what appeared to be her fleeing,"
5422cca4fdf99b328c91b21b,9,so her dad came to me to find out where she was.,prompting her father to approach me for her whereabouts.
5422cca4fdf99b328c91b21b,10,I said we should go and look for her,I proposed that we should search for her together
5422cca4fdf99b328c91b21b,11,and if we cannot find her,"and if she remained missing,"
5422cca4fdf99b328c91b21b,12,then she should do whatever he feels is necessary.,he should take any action he deemed fit.
5422cca4fdf99b328c91b21b,13,We went to where her scarf was,"Our search led us to the location of her scarf,"
5422cca4fdf99b328c91b21b,14,"and she wasn't there,","yet she was nowhere to be found there,"
5422cca4fdf99b328c91b21b,15,but after looking a while we found her at the police station reading a book -,"but eventually, we located her at the station engrossed in a book -"
5422cca4fdf99b328c91b21b,16,she hadn't run away.,it turned out she hadn't fled.
5422cca4fdf99b328c91b21b,17,I was warned afterwards by a police officer,"Later on, an officer cautioned me"
5422cca4fdf99b328c91b21b,18,that I should redeploy,"that it would be wise to transfer out,"
5422cca4fdf99b328c91b21b,19,"as the chief never forgets,","since the chief is known to hold a grudge,"
5422cca4fdf99b328c91b21b,20,so that's what I did.,and that's precisely the course I took.
5422cca4fdf99b328c91b21b,21,And that was the end of my rookie year.,That marked the conclusion of my first year on the job.
571a82d06a1c6300094c6a19,1,When I started as a rookie policeman,Upon beginning my tenure as a novice officer
571a82d06a1c6300094c6a19,2,I was introduced to my boss,I was acquainted with my superior
571a82d06a1c6300094c6a19,3,who happened to be a war veteran.,who was a decorated combat veteran.
571a82d06a1c6300094c6a19,4,He had the reputation of being really good at catching criminals.,He was renowned for his exceptional skill in apprehending lawbreakers.
571a82d06a1c6300094c6a19,5,I at the time was one of these kind of people who liked going to the gym,"At that time, I was the type who enjoyed frequenting the gym"
571a82d06a1c6300094c6a19,6,I liked to keep myself fit.,I was dedicated to maintaining my physical fitness.
571a82d06a1c6300094c6a19,7,At the time this police chief had a daughter,"During that period, the chief of police had a daughter"
571a82d06a1c6300094c6a19,8,who was sweet on me.,who took a liking to me.
571a82d06a1c6300094c6a19,9,I never liked her,I did not reciprocate her feelings
571a82d06a1c6300094c6a19,10,because she was a chatterbox,since she was excessively talkative
571a82d06a1c6300094c6a19,11,and never encouraged her to be over friendly with me.,and I never motivated her to become overly familiar with me.
571a82d06a1c6300094c6a19,12,One particular the chief asked me for help,"On a certain day, the chief requested my assistance"
571a82d06a1c6300094c6a19,13,to look for his daughter,in the search for his missing daughter
571a82d06a1c6300094c6a19,14,who had run away after complaining that she was getting chastised for always talking about me.,who had disappeared after voicing her grievances about being reprimanded for constantly mentioning me.
571a82d06a1c6300094c6a19,15,We got the whole force out looking for her,The entire department was mobilized to search for her
571a82d06a1c6300094c6a19,16,and found a scarf on a bench.,and we discovered a scarf left on a park bench.
571a82d06a1c6300094c6a19,17,Eventually we carried on searching,We continued the search with determination
571a82d06a1c6300094c6a19,18,and found her reading a book under a tree.,and eventually located her engrossed in a book beneath a tree.
571a82d06a1c6300094c6a19,19,Everyone was very relieved,There was a collective sigh of relief from everyone
571a82d06a1c6300094c6a19,20,but the deputy warned me,yet the assistant chief cautioned me
571a82d06a1c6300094c6a19,21,that I better ask for a transfer,that it would be wise to request a reassignment
