recall_id,clause_id,clause_text
6474a4b973909ba4745f59df,1,My best friend pushed me into the lake.
6474a4b973909ba4745f59df,2,I'll tell you how it all began.
6474a4b973909ba4745f59df,3,"We were sitting by the edge of the lake-our favorite spot in the woods,"
6474a4b973909ba4745f59df,4,when my friend saw a frog on the water.
6474a4b973909ba4745f59df,5,Get it!
6474a4b973909ba4745f59df,6,She said.
6474a4b973909ba4745f59df,7,No way!
6474a4b973909ba4745f59df,8,I answered.
6474a4b973909ba4745f59df,9,"But- you know friends, they don't always take no for an answer."
6474a4b973909ba4745f59df,10,So she gave me a nudge.
6474a4b973909ba4745f59df,11,When I came up from the water there was a frog sitting on the shore.
6474a4b973909ba4745f59df,12,And I couldn't help but laugh- uncontrollably.
6474a4b973909ba4745f59df,13,"Just you wait,"
6474a4b973909ba4745f59df,14,"I said,"
6474a4b973909ba4745f59df,15,your turn will come!
5e573763bb69b30f9aa4fb5e,1,Two friends went camping
5e573763bb69b30f9aa4fb5e,2,"and one fell into the lake,"
5e573763bb69b30f9aa4fb5e,3,it was their annual summer trip.
5e573763bb69b30f9aa4fb5e,4,One friend saw a frog
5e573763bb69b30f9aa4fb5e,5,and she did not want to catch it
5e573763bb69b30f9aa4fb5e,6,because had just sat down to eat a sandwich.
5e573763bb69b30f9aa4fb5e,7,The friend decided to give the friend a little nudge from behind
5e573763bb69b30f9aa4fb5e,8,causing her to fall into the lake.
5e573763bb69b30f9aa4fb5e,9,When she emerged from the lake
5e573763bb69b30f9aa4fb5e,10,the frog always sitting on the shore.
5e573763bb69b30f9aa4fb5e,11,The friend picked the frog up
5e573763bb69b30f9aa4fb5e,12,and handed it to her
5e573763bb69b30f9aa4fb5e,13,and she could do nothing but laugh uncontrollably.
5e573763bb69b30f9aa4fb5e,14,The friend said just you wait
5e573763bb69b30f9aa4fb5e,15,I will have my revenge.
5ea313378e994c25658eae92,1,My friend pushed me into a lake.
5ea313378e994c25658eae92,2,This was during our summer picnic.
5ea313378e994c25658eae92,3,She said she saw a frog in the water
5ea313378e994c25658eae92,4,and asked me to jump in.
5ea313378e994c25658eae92,5,She gave me a nudge
5ea313378e994c25658eae92,6,and I fell in.
5ea313378e994c25658eae92,7,When I got out
5ea313378e994c25658eae92,8,there was a frog at the side of the lake.
64518e0e1d8bff225cd5e491,1,I was with a friend down by the lake
64518e0e1d8bff225cd5e491,2,when she pushed me in.
64518e0e1d8bff225cd5e491,3,We were on holiday
64518e0e1d8bff225cd5e491,4,and down by the lake
64518e0e1d8bff225cd5e491,5,when I saw a frog
64518e0e1d8bff225cd5e491,6,and was trying to catch it.
64518e0e1d8bff225cd5e491,7,My friend was annoyed
64518e0e1d8bff225cd5e491,8,and so she pushed me in the lake.
64518e0e1d8bff225cd5e491,9,When I emerged
64518e0e1d8bff225cd5e491,10,she handed me the frog
64518e0e1d8bff225cd5e491,11,and said there you are.
64518e0e1d8bff225cd5e491,12,"I said you wait,"
64518e0e1d8bff225cd5e491,13,I will get you back sometime.
5fae55f1c1b83f2c4d05540d,1,"I was on my annual camping trip with my friend,"
5fae55f1c1b83f2c4d05540d,2,in our regular favorite spot.
5fae55f1c1b83f2c4d05540d,3,I was just sitting down eating my sandwich
5fae55f1c1b83f2c4d05540d,4,when my friend spotted a frog by the lake's edge.
5fae55f1c1b83f2c4d05540d,5,She dared me to catch it
5fae55f1c1b83f2c4d05540d,6,and I said no.
5fae55f1c1b83f2c4d05540d,7,"But of course, with best friends, sometimes they don't take no for an answer."
5fae55f1c1b83f2c4d05540d,8,I was by the water edge
5fae55f1c1b83f2c4d05540d,9,when she snuck up behind me
5fae55f1c1b83f2c4d05540d,10,and pushed me in.
5fae55f1c1b83f2c4d05540d,11,She then picked up the frog
5fae55f1c1b83f2c4d05540d,12,and handed it to me
5fae55f1c1b83f2c4d05540d,13,and I laughed uncontrollably.
5fae55f1c1b83f2c4d05540d,14,"Then I said to her ""look out you'll get yours eventually."""
5d27b8fee5af0b00157f41a6,1,"My best friend found a frog on the lake,"
5d27b8fee5af0b00157f41a6,2,it was her favorite camping spot.
645be121a46b65188b41cdc3,1,My best friend pushed me into the lake.
645be121a46b65188b41cdc3,2,"This happened at our annual camping trip,"
645be121a46b65188b41cdc3,3,at our favourite spot.
645be121a46b65188b41cdc3,4,She spotted a frog at the edge
645be121a46b65188b41cdc3,5,and asked me to catch it.
645be121a46b65188b41cdc3,6,I had just sat down to eat my sandwich
645be121a46b65188b41cdc3,7,and refused.
645be121a46b65188b41cdc3,8,"'Course, thats the thing about friends,"
645be121a46b65188b41cdc3,9,they dont always take no for an answer.
645be121a46b65188b41cdc3,10,She snuck up behind me
645be121a46b65188b41cdc3,11,and pushed me into the water.
645be121a46b65188b41cdc3,12,"When I came back up,"
645be121a46b65188b41cdc3,13,"there was a frog on the shore,"
645be121a46b65188b41cdc3,14,which she simply scooped up
