segment_id,segment_text,p-caught
1,"In the neighborhood I grew up in, Mrs. Baker was the resident cat lady.",100.00%
2,She had adopted at least twenty –,91.67%
3,or had given them homes.,86.11%
4,But she had – a young grandson,95.37%
5,and back then I was quite the tomboy.,79.63%
6,"And apparently, he was trying to befriend me.",99.07%
7,I never caught on.,39.81%
8,Truth is I didn't take to him much because he had –,87.96%
9,He was a charming lad until you saw his manners.,100.00%
10,He had poor manners.,100.00%
11,Goodness gracious he had poor manners.,100.00%
12,Then he left a note one day saying he was going to run away because she was always nagging about me.,100.00%
13,She came to my treehouse.,100.00%
14,Big old tabby cat in tow.,100.00%
15,I talked her down,97.22%
16,and said “Well we'll go find him,100.00%
17,"and if we can't locate him, you can – go ahead and call the police if you need to.”",100.00%
18,I was strategizing.,4.63%
19,So she took my advice.,7.41%
20,And we went to where they found his baseball cap – near the old mill,100.00%
21,and we trailed a bit more,75.93%
22,and we didn't find a trace.,92.59%
23,And returned,90.74%
24,– it was a treehouse club –,80.56%
25,he was sitting on a branch with a comic book in his hand.,100.00%
26,He hadn't run away.,87.96%
27,But – however – that resolved it for that day.,0.00%
28,"But that evening the local sheriff, Officer Dawson said “You better lay low and stay out of sight because that woman never forgets anything once she gets it into her mind.”",100.00%
29,And I did.,99.07%
30,I laid low,100.00%
31,and stayed out of sight.,96.30%
32,That was the second time.,66.67%
