segment_id,segment_text,original_filename
1,"In the neighborhood I grew up in, Mrs. Baker was the resident cat lady.",triplett_v2-catlady_014.csv
2,"She had adopted at least twenty – or had given them homes.",triplett_v2-catlady_014.csv
3,"But she had – a young grandson",triplett_v2-catlady_014.csv
4,"and back then I was quite the tomboy.",triplett_v2-catlady_014.csv
5,"And apparently, he was trying to befriend me.",triplett_v2-catlady_014.csv
6,"And apparently, he was trying to befriend me.",triplett_v2-catlady_019.csv
7,"I never caught on.",triplett_v2-catlady_019.csv
8,"Truth is I didn't take to him much because he had –",triplett_v2-catlady_019.csv
9,"He was a charming lad until you saw his manners.",triplett_v2-catlady_019.csv
10,"He had poor manners.",triplett_v2-catlady_019.csv
11,"Goodness gracious he had poor manners.",triplett_v2-catlady_019.csv
12,"Then he left a note one day saying he was going to run away because she was always nagging about me.",triplett_v2-catlady_019.csv
13,"She came to my treehouse.",triplett_v2-catlady_028.csv
14,"Big old tabby cat in tow.",triplett_v2-catlady_028.csv
15,"I talked her down",triplett_v2-catlady_028.csv
16,"and said “Well we'll go find him",triplett_v2-catlady_028.csv
17,"and if we can't locate him, you can – go ahead and call the police if you need to.”",triplett_v2-catlady_028.csv
18,"I was strategizing.",triplett_v2-catlady_028.csv
19,"So she took my advice.",triplett_v2-catlady_035.csv
20,"And we went to where they found his baseball cap – near the old mill",triplett_v2-catlady_035.csv
21,"and we trailed a bit more",triplett_v2-catlady_035.csv
22,"and we didn't find a trace.",triplett_v2-catlady_035.csv
24,"– it was a treehouse club –",triplett_v2-catlady_042.csv
25,"he was sitting on a branch with a comic book in his hand.",triplett_v2-catlady_042.csv
26,"He hadn't run away.",triplett_v2-catlady_042.csv
27,"But – however – that resolved it for that day.",triplett_v2-catlady_042.csv
28,"But that evening the local sheriff, Officer Dawson said “You better lay low and stay out of sight because that woman never forgets anything once she gets it into her mind.”",triplett_v2-catlady_045.csv
29,"And I did.",triplett_v2-catlady_050.csv
30,"I laid low",triplett_v2-catlady_050.csv
31,"and stayed out of sight.",triplett_v2-catlady_050.csv
32,"That was the second time.",triplett_v2-catlady_050.csv
