segment_id,segment_text,p-caught
1,About a month ago see we were going to a church league softball game...,86.54%
2,They'd had the games all scheduled for the diamond at Homestead High School.,24.04%
3,You know where that's at?,0.00%
4,"Well we're going up Twenty­-four,",78.85%
5,"and getting ready to turn there, at Ranch Eggs,",38.46%
6,"and I was slowing down,",8.65%
7,"got my turn signal on,",14.42%
8,"and as I was slowing down,",11.54%
9,"there's this guy sitting over here to the right,",76.92%
10,coming on to Twenty­-four.,76.92%
11,Looked like he's about in his middle fifties.,42.31%
12,And he starts creeping out onto Twenty-four,96.15%
13,"and he's blocking off the lane,",85.58%
14,and he's heading for the same spot that I'm going.,28.85%
15,You know how you sit there and wait for the traffic to get by?,0.00%
16,Right there in the median?,0.00%
17,"This guy starts,",3.85%
18,"pulls out in the lane,",77.88%
19,"I thought ""you jerk""...",63.46%
20,but I hurried up and got in there ahead of him.,92.31%
21,And he sits there and waits on.,16.35%
22,Mean he's got Twenty­-four blocked.,72.12%
23,He's sitting there right in the middle of the highway.,97.12%
24,Got it blocked.,89.42%
25,"So we went on across as soon as traffic cleared,",50.00%
26,"and we're headed up there towards that diamond,",28.85%
27,"and it's about ... maybe mile, two miles... north of Twenty­-four on Aboite Center,",63.46%
28,"and this guy's following us see,",96.15%
29,as we're going up there this little hill right there.,45.19%
30,At Ranch Eggs.,31.73%
31,"We're going up this hill,",31.73%
32,and this guy's right on my tail.,98.08%
33,"And Lisa was with me,",66.35%
34,and she said “That guy is right on your tail!”,77.88%
35,"I looked in the mirror and sure enough he's right up there practically bumper to bumper,",53.85%
36,"and I'm trying to keep an eye on him,",16.35%
37,make sure he doesn't slam into me or anything.,21.15%
38,"He starts weaving back and forth,",85.58%
39,couldn't keep it in one lane.,83.65%
40,Really ...bad news.,30.77%
41,And all the time this is going on...,33.65%
42,I'm thinking how drunk driving is the number one killer of kids and all this business.,75.00%
43,How it's everybody's responsibility.,12.50%
44,So I was trying to make up my mind what to do.,60.58%
45,I was pretty sure he was drunk...,85.58%
46,at least he appeared that way...,84.62%
47,"so I figured that when we get up to this stop sign I'm going to go back and find out what his problem is,",26.92%
48,"'cause I'm thinking he's drunk,",20.19%
49,"and I know I oughta do something about it,",22.12%
50,"but at the same time if he's sick,",47.12%
51,"like maybe he's having a heart attack or something,",47.12%
52,you know.,12.50%
53,You gotta do something.,25.00%
54,"I'd really feel bad if I read the papers the next day that the guy,",14.42%
55,some guy died with a heart attack and there I was thinking he was drunk.,14.42%
56,And I didn't really want to get involved to be honest with you.,19.23%
57,"But I had made up my mind that I was going to,",18.27%
58,"so we pulled up to the stop at this sign,",87.50%
59,and right across the road stopped a sheriff's car.,93.27%
60,"So I motion for him to come over,",87.50%
61,"and they whip across the road,",51.92%
62,"and I got out the car,",85.58%
63,"walked over there,",71.15%
64,"and said to this deputy “This guy behind me is either sick or he's drunk,",81.73%
65,but he's got a problem.,64.42%
66,He can't keep his car on one side of the road.”,58.65%
67,And I said “He's got a definite problem...”,34.62%
68,So they started down there.,43.27%
69,"And as soon as he sees me get out of the car and walk over there to the police car,",68.27%
70,the guy stops way far away from the intersection.,66.35%
71,"He stops,",48.08%
72,"and he throws his car into reverse,",82.69%
73,and starts backing up.,78.85%
74,"When the cops went down there to check him out,",69.23%
75,he starts backing up going backwards down that road.,61.54%
76,"Pretty soon they catch up with him,",65.38%
77,"and he starts forward again,",50.96%
78,"and they make a U­-turn in the road and start following him,",63.46%
79,and he's just driving real slow and careful.,40.38%
80,Ha ha it's pretty comical...,33.65%
81,I don't know if they ever stopped him or not.,14.42%
