segment_id,segment_text,p-caught
1,"Back in the days when I was a rookie in the police force, the Chief was a veteran.",70.30%
2,He had caught a notorious criminal –,21.78%
3,or had been awarded for bravery.,20.79%
4,But he had – a young daughter.,84.16%
5,And in those days I was a fitness enthusiast.,36.63%
6,And it seemed she was trying to impress me.,79.21%
7,I never observed it.,53.47%
8,Truth is I wasn't very fond of her because she was –,83.17%
9,She was a charming girl until she opened her mouth.,82.18%
10,She was a chatterbox.,100.00%
11,"Goodness, she could talk.",100.00%
12,Then she left a message one day saying she was going to run away because he was always scolding her about me.,100.00%
13,He arrived at my apartment.,100.00%
14,Big intimidating look on his face.,98.02%
15,I managed to calm him down.,75.25%
16,and proposed “Well we'll search for her,100.00%
17,and if we can't locate her well you can – do whatever you think is right.”,48.51%
18,I was strategizing.,29.70%
19,So he accepted my offer.,86.14%
20,And we went to where they found her scarf – near a park.,96.04%
21,and we traced down a little more,77.23%
22,and we couldn't locate her.,85.15%
23,And returned,87.13%
24,– it was a police station –,96.04%
25,she was sitting on a chair with a book in her hands.,96.04%
26,She hadn't run away.,77.23%
27,But – nevertheless – that resolved the issue for that day.,22.77%
28,"But that evening the deputy, Frank Mitchell, said “You better transfer and leave because that old man never forgets anything once he gets it into his mind.”",44.55%
29,And I did.,26.73%
30,I transferred.,26.73%
31,and left.,25.74%
32,That was the end of my rookie year.,3.96%
