segment_id,segment_text,p-caught
1,My daughter died.,82.47%
2,It’ll be twenty-eight years this month.,89.69%
3,"The thirtieth of this month, yeah.",77.32%
4,She died at Methodist Hospital.,100.00%
5,She had an operation for appendicitis.,100.00%
6,"It was late Saturday afternoon when they operated, very late.",92.78%
7,"Sunday morning, my oldest daughter, Victoria, went to the hospital to see how she was.",88.66%
8,She was still under ether.,92.78%
9,"Back then, they used a lot of ether.",83.51%
10,There was a chair there.,71.13%
11,"They were just starting to get people out of bed, you know.",67.01%
12,"So, Victoria saw the chair,",35.05%
13,"and she said to the nurse, “What’s this chair doing here?”",65.98%
14,"The nurse said, “Well, we’ve got to get her out of bed.”",95.88%
15,"She said, “What are you talking about? She’s still under ether.”",51.55%
16,“She’s too sick.”,70.10%
17,"But the nurse said, “Well, that’s the doctor’s orders.”",81.44%
18,"So, they went to get her out of bed,",85.57%
19,"and she passed out,",86.60%
20,and they had to put her back in bed.,75.26%
21,"See, here, she never – I don’t know if they knew or what,",5.15%
22,"but I blame them for the blood clot she got, taking her out of bed.",98.97%
23,"So, when she was walking around to come home after ten days,",70.10%
24,I was waiting for the call from the hospital.,76.29%
25,I didn’t have a phone then.,86.60%
26,"The lady from the store who had a phone called me, “Mrs. Costa,” at aquarter to five at night.",96.91%
27,"“Mrs. Costa, they just called you from the hospital.",86.60%
28,Go Pick Marie up.,81.44%
29,She’s discharged.”,35.05%
30,I had all the clothes laid out on the table.,93.81%
31,"And Rita was – I was cooking,",87.63%
32,"I said, “Rita, finish the cooking.”",94.85%
33,Daddy will be home soon.”,64.95%
34,He was working down in the yard.,25.77%
35,"I said, “And put a big pot of coffee on,” because she had been wishing for coffee.",91.75%
36,"And you know, every morning, that first cup of coffee, I offered it to her.",86.60%
37,"When I get up in the morning, the first cup is hers.",64.95%
38,"Since she’s gone, I never forget that.",71.13%
39,"So I said, “Put a pot of coffee on,",29.90%
40,and send for some cake from the bakery.”,88.66%
41,I’m going to get Marie; they called me.”,70.10%
42,"“All right, mother, go ahead,” she said, “I’ll finish up.”",7.22%
43,"And I went myself. You know, I had the coat on my arm.",92.78%
44,She was operated on in March –,16.49%
45,"No, April! So that was the thirtieth.",70.10%
46,"She was operated – ten days before, so that would be the twentieth.",29.90%
47,"The twentieth of April, right? It was kind of chilly.",67.01%
48,"Oh, and I had everything in a bag,",82.47%
49,and I had the coat on my arm and her dress hanging on my arm.,90.72%
50,"She saw me from the windows, from Wolf Street.",64.95%
51,"She said, “My mother’s just coming.”",25.77%
52,"She was with the girls, saying goodbye to everyone – you know how it is.",47.42%
53,"They told me on the phone, it would be ten dollars more for her board.",76.29%
54,And to make sure I brought her girdle to put on.,72.16%
55,"I said, “All right, I’ll be right over.”",30.93%
56,And I went.,39.18%
57,"But when I got there, the nurse said to me, “Sit down, Mrs. Costa, sit here for a while.”",96.91%
58,"So I sat down, and I was praying for another lady in the hospital that had an operation for her gall bladder.",91.75%
59,"She lived near my sister, and she had ten children.",71.13%
60,They had said she was in very bad shape.,58.76%
61,"I prayed, “Oh dear God, don’t take that mother away from her children.”",87.63%
62,"I was praying for her, you know.",3.09%
63,Then a little nurse’s aide went to the closet and got some blankets.,72.16%
64,"I started getting the chills,",92.78%
65,"and I was thinking about it,",6.19%
66,"when the aide said to the nurse, “Oh, she’s going into a cold sweat now.”",89.69%
67,"The nurse hung up the phone and came to me. She said, “Mrs. Costa, has your daughter ever had a fainting spell?”",89.69%
68,"“Oh my God!” I said, “Don’t tell me you’re running for my daughter!”",75.26%
69,"“Yes,” she said, “come on in.”",51.55%
70,"So, I went into the room.",54.64%
71,And my daughter was on the bed with her bedroom slippers and her housecoat on.,93.81%
72,"And the beads of sweat – honest to God, not to exaggerate, they were that big.",96.91%
73,It came – just poured from her –,54.64%
74,"I said, “What did you do, kill my daughter?",98.97%
75,You killed her! You killed her!”,96.91%
76,That’s what I kept yelling.,77.32%
77,"And the doctor rushed in,",58.76%
78,"see, they were trying to get the doctor, you know.",29.90%
79,She was a lady doctor.,45.36%
80,"Dr. Schwartz actually did the operation, but she was his assistant, Dr. Montique.",50.52%
81,She was a lady doctor.,52.58%
82,"So, she came in and she said –",8.25%
83,"I said, “You killed my daughter – what did you do to her?”",45.36%
