segment_id,segment_text,p-caught
1,My daughter died.,79.31%
2,It’ll be twenty-eight years this month.,72.41%
3,"The thirtieth of this month, yeah.",56.90%
4,She died at Methodist Hospital.,62.07%
5,She had an operation for appendicitis.,99.14%
6,"It was late Saturday afternoon when they operated, very late.",26.72%
7,"Sunday morning, my oldest daughter, Victoria, went to the hospital to see how she was.",62.93%
8,She was still under ether.,98.28%
9,"Back then, they used a lot of ether.",79.31%
10,There was a chair there.,36.21%
11,"They were just starting to get people out of bed, you know.",81.03%
12,"So, Victoria saw the chair,",34.48%
13,"and she said to the nurse, “What’s this chair doing here?”",62.93%
14,"The nurse said, “Well, we’ve got to get her out of bed.”",96.55%
15,"She said, “What are you talking about? She’s still under ether.”",88.79%
16,“She’s too sick.”,56.90%
17,"But the nurse said, “Well, that’s the doctor’s orders.”",80.17%
18,"So, they went to get her out of bed,",79.31%
19,"and she passed out,",88.79%
20,and they had to put her back in bed.,22.41%
21,"See, here, she never – I don’t know if they knew or what,",18.10%
22,"but I blame them for the blood clot she got, taking her out of bed.",93.97%
23,"So, when she was walking around to come home after ten days,",50.86%
24,I was waiting for the call from the hospital.,86.21%
25,I didn’t have a phone then.,12.07%
26,"The lady from the store who had a phone called me, “Mrs. Costa,” at aquarter to five at night.",85.34%
27,"“Mrs. Costa, they just called you from the hospital.",75.86%
28,Go Pick Marie up.,85.34%
29,She’s discharged.”,18.97%
30,I had all the clothes laid out on the table.,89.66%
31,"And Rita was – I was cooking,",51.72%
32,"I said, “Rita, finish the cooking.”",43.10%
33,Daddy will be home soon.”,41.38%
34,He was working down in the yard.,29.31%
35,"I said, “And put a big pot of coffee on,” because she had been wishing for coffee.",47.41%
36,"And you know, every morning, that first cup of coffee, I offered it to her.",36.21%
37,"When I get up in the morning, the first cup is hers.",32.76%
38,"Since she’s gone, I never forget that.",31.90%
39,"So I said, “Put a pot of coffee on,",47.41%
40,and send for some cake from the bakery.”,42.24%
41,I’m going to get Marie; they called me.”,51.72%
42,"“All right, mother, go ahead,” she said, “I’ll finish up.”",18.97%
43,"And I went myself. You know, I had the coat on my arm.",49.14%
44,She was operated on in March –,23.28%
45,"No, April! So that was the thirtieth.",37.93%
46,"She was operated – ten days before, so that would be the twentieth.",30.17%
47,"The twentieth of April, right? It was kind of chilly.",8.62%
48,"Oh, and I had everything in a bag,",52.59%
49,and I had the coat on my arm and her dress hanging on my arm.,58.62%
50,"She saw me from the windows, from Wolf Street.",25.00%
51,"She said, “My mother’s just coming.”",12.07%
52,"She was with the girls, saying goodbye to everyone – you know how it is.",12.93%
53,"They told me on the phone, it would be ten dollars more for her board.",7.76%
54,And to make sure I brought her girdle to put on.,7.76%
55,"I said, “All right, I’ll be right over.”",6.90%
56,And I went.,31.03%
57,"But when I got there, the nurse said to me, “Sit down, Mrs. Costa, sit here for a while.”",88.79%
58,"So I sat down, and I was praying for another lady in the hospital that had an operation for her gall bladder.",12.93%
59,"She lived near my sister, and she had ten children.",10.34%
60,They had said she was in very bad shape.,10.34%
61,"I prayed, “Oh dear God, don’t take that mother away from her children.”",10.34%
62,"I was praying for her, you know.",7.76%
63,Then a little nurse’s aide went to the closet and got some blankets.,9.48%
64,"I started getting the chills,",15.52%
65,"and I was thinking about it,",8.62%
66,"when the aide said to the nurse, “Oh, she’s going into a cold sweat now.”",30.17%
