segment_id,segment_text,p-caught
1,About a month ago see we were going to a church league softball game...,88.68%
2,They'd had the games all scheduled for the diamond at Homestead High School.,50.94%
3,You know where that's at?,0.00%
4,"Well we're going up Twenty­-four,",75.47%
5,"and getting ready to turn there, at Ranch Eggs,",87.74%
6,"and I was slowing down,",16.04%
7,"got my turn signal on,",16.04%
8,"and as I was slowing down,",4.72%
9,"there's this guy sitting over here to the right,",93.40%
10,coming on to Twenty­-four.,53.77%
11,Looked like he's about in his middle fifties.,75.47%
12,And he starts creeping out onto Twenty-four,80.19%
13,"and he's blocking off the lane,",100.00%
14,and he's heading for the same spot that I'm going.,3.77%
15,You know how you sit there and wait for the traffic to get by?,0.94%
16,Right there in the median?,1.89%
17,"This guy starts,",12.26%
18,"pulls out in the lane,",64.15%
19,"I thought ""you jerk""...",30.19%
20,but I hurried up and got in there ahead of him.,99.06%
21,And he sits there and waits on.,16.98%
22,Mean he's got Twenty­-four blocked.,66.04%
23,He's sitting there right in the middle of the highway.,84.91%
24,Got it blocked.,72.64%
25,"So we went on across as soon as traffic cleared,",6.60%
26,"and we're headed up there towards that diamond,",20.75%
27,"and it's about ... maybe mile, two miles... north of Twenty­-four on Aboite Center,",71.70%
28,"and this guy's following us see,",93.40%
29,as we're going up there this little hill right there.,45.28%
30,At Ranch Eggs.,38.68%
31,"We're going up this hill,",54.72%
32,and this guy's right on my tail.,98.11%
33,"And Lisa was with me,",85.85%
34,and she said “That guy is right on your tail!”,93.40%
35,"I looked in the mirror and sure enough he's right up there practically bumper to bumper,",45.28%
36,"and I'm trying to keep an eye on him,",4.72%
37,make sure he doesn't slam into me or anything.,9.43%
38,"He starts weaving back and forth,",98.11%
39,couldn't keep it in one lane.,92.45%
40,Really ...bad news.,16.04%
41,And all the time this is going on...,16.04%
42,I'm thinking how drunk driving is the number one killer of kids and all this business.,84.91%
43,How it's everybody's responsibility.,35.85%
44,So I was trying to make up my mind what to do.,60.38%
45,I was pretty sure he was drunk...,81.13%
46,at least he appeared that way...,76.42%
47,"so I figured that when we get up to this stop sign I'm going to go back and find out what his problem is,",44.34%
48,"'cause I'm thinking he's drunk,",15.09%
49,"and I know I oughta do something about it,",53.77%
50,"but at the same time if he's sick,",94.34%
51,"like maybe he's having a heart attack or something,",90.57%
52,you know.,21.70%
53,You gotta do something.,40.57%
54,"I'd really feel bad if I read the papers the next day that the guy,",34.91%
55,some guy died with a heart attack and there I was thinking he was drunk.,29.25%
56,And I didn't really want to get involved to be honest with you.,36.79%
57,"But I had made up my mind that I was going to,",29.25%
58,"so we pulled up to the stop at this sign,",76.42%
59,and right across the road stopped a sheriff's car.,99.06%
60,"So I motion for him to come over,",83.96%
61,"and they whip across the road,",16.04%
62,"and I got out the car,",87.74%
63,"walked over there,",33.02%
64,"and said to this deputy “This guy behind me is either sick or he's drunk,",97.17%
65,but he's got a problem.,78.30%
66,He can't keep his car on one side of the road.”,84.91%
67,And I said “He's got a definite problem...”,54.72%
68,So they started down there.,40.57%
69,"And as soon as he sees me get out of the car and walk over there to the police car,",70.75%
70,the guy stops way far away from the intersection.,80.19%
71,"He stops,",19.81%
72,"and he throws his car into reverse,",96.23%
73,and starts backing up.,93.40%
74,"When the cops went down there to check him out,",79.25%
75,he starts backing up going backwards down that road.,61.32%
76,"Pretty soon they catch up with him,",59.43%
77,"and he starts forward again,",60.38%
78,"and they make a U­-turn in the road and start following him,",50.94%
79,and he's just driving real slow and careful.,82.08%
80,Ha ha it's pretty comical...,83.96%
81,I don't know if they ever stopped him or not.,67.92%
