segment_id,segment_text,p-caught
1,My best friend pushed me into the pool.,96.00%
2,"This happened during my cousin's wedding reception,",85.00%
3,where everyone was dressed to impress.,99.00%
4,"And the reason it happened,",8.00%
5,"she spotted a bee hovering near my face,",92.00%
6,- this was at a fancy hotel garden -,98.00%
7,and she tried to save me from being stung.,87.00%
8,"And my aunt had just handed me a glass of champagne,",100.00%
9,and I warned her to be careful.,85.00%
10,"'Course friends, y'know, they don't always think things through.",37.00%
11,"So that's when she gave me a little shove,",100.00%
12,and I tumbled into the water.,83.00%
13,"When I resurfaced, gasping for air,",100.00%
14,"she just started laughing,",100.00%
15,and she apologized profusely.,100.00%
16,"And... my beautiful dress was ruined,",100.00%
17,"and naturally, the first thing to do was to get out and dry off,",60.00%
18,"and my cousin just says, ""Just about a few inches more,"" she says, ""and you'd have landed on the cake.""",100.00%
