recall_id,clause_id,segment_ids,fan_out,last_segment_id,clause_text
gpt4-1,1,[1],1,3,My best friend pushed me into the pool.
gpt4-1,2,[2],1,3,This incident occurred at my cousin's wedding reception.
gpt4-2,1,"[1, 4, 5, 7]",4,7,My best friend pushed me into the pool to save me from a bee.
gpt4-2,2,[2],1,7,The incident occurred at my cousin's wedding reception.
gpt4-2,3,[6],1,7,The wedding reception was at a fancy hotel garden.
gpt4-3,1,"[1, 4, 5, 7]",4,9,My best friend pushed me into the pool to save me from a bee.
gpt4-3,2,[2],1,9,The incident occurred at my cousin's wedding reception.
gpt4-3,3,[6],1,9,The wedding reception was at a fancy hotel garden.
gpt4-3,4,[8],1,9,My aunt had just handed me a glass of champagne before I was pushed.
gpt4-4,1,"[1, 4, 5, 7, 11, 12]",6,12,My best friend pushed me into the pool to save me from a bee.
gpt4-4,2,[2],1,12,The incident occurred at my cousin's wedding reception.
gpt4-4,3,[6],1,12,The wedding reception was at a fancy hotel garden.
gpt4-4,4,[8],1,12,My aunt had just handed me a glass of champagne before I was pushed.
gpt4-4,5,[10],1,12,My friend did not fully consider the consequences before pushing me.
gpt4-5,1,"[1, 4, 5, 7, 11, 12]",6,15,My best friend pushed me into the pool to save me from a bee.
gpt4-5,2,[2],1,15,The incident occurred at my cousin's wedding reception.
gpt4-5,3,[6],1,15,The wedding reception was at a fancy hotel garden.
gpt4-5,4,[8],1,15,My aunt had just handed me a glass of champagne before I was pushed.
gpt4-5,5,[10],1,15,My friend did not fully consider the consequences before pushing me.
gpt4-5,6,[13],1,15,I resurfaced gasping for air after being pushed into the pool.
gpt4-5,7,"[14, 15]",2,15,My friend laughed and apologized profusely after the incident.
gpt4-6,1,"[1, 4, 5, 7, 11, 12]",6,18,My best friend pushed me into the pool to save me from a bee.
gpt4-6,2,[2],1,18,The incident occurred at my cousin's wedding reception.
gpt4-6,3,[6],1,18,The wedding reception was at a fancy hotel garden.
gpt4-6,4,[8],1,18,My aunt had just handed me a glass of champagne before I was pushed.
gpt4-6,5,[10],1,18,My friend did not fully consider the consequences before pushing me.
gpt4-6,6,[16],1,18,My dress was ruined from the fall into the pool.
gpt4-6,7,[18],1,18,My cousin joked that I nearly landed on the wedding cake.
