segment_id,segment_text,p-caught
1,"Yeah, I was in the boy scouts at the time.",88.12%
2,"And we was doing the 50-yard dash,",100.00%
3,"racing,",46.53%
4,"but we was at the pier, marked off,",78.22%
5,and so we was doing the 50-yard dash.,98.02%
6,"There was about 8 or 9 of us, you know, going down, coming back.",100.00%
7,"And, going down the third time, I caught cramps",100.00%
8,"and I started yelling ""Help!"",",100.00%
9,"but the fellows didn't believe me, you know.",99.01%
10,"They thought I was just trying to catch up, because I was going on or slowing down.",100.00%
11,So all of them kept going.,99.01%
12,They leave me.,69.31%
13,And so I started going down.,0.00%
14,Scoutmaster was up there.,100.00%
15,He was watching me.,90.10%
16,But he didn't pay me no attention either.,100.00%
17,"And for no reason at all there was another guy, who had just walked up that minute...",100.00%
18,He just jumped over,99.01%
19,and grabbed me.,100.00%
