segment_id,segment_text,real_rec,real_caught,emulated_rec,emulated_caught,rec_difference,caught_difference
1,We moved down to Third and Wharton.,52.38,78.35,0.0,10.0,-52.38,-68.35
2,We had gotten moved,7.14,29.9,0.0,0.0,-7.14,-29.9
3,"but it was like – you remember I told you my father drank,",42.86,42.27,10.0,30.0,-32.86,-12.27
4,"but it was still day,",3.57,6.19,0.0,0.0,-3.57,-6.19
5,"and after he had gotten in and put the furniture where it was supposed to go, my mother left, to go to market to get some food to bring into the house.",44.05,68.04,0.0,20.0,-44.05,-48.04
6,And my father went to take the horses – take the team of horses back.,42.86,55.67,0.0,0.0,-42.86,-55.67
7,But he didn't come home.,10.71,25.77,0.0,40.0,-10.71,14.23
8,"He – stopped somewhere on – I dunno,",0.0,17.53,0.0,10.0,0.0,-7.53
9,but he – how he – why he wasn't in the house.,0.0,15.46,0.0,0.0,0.0,-15.46
10,And of course I was left there with the kids.,34.52,55.67,0.0,0.0,-34.52,-55.67
11,Well no sooner did my mother get out of the house – my father went first – then – oh it was such an awful crash came through the window.,63.1,96.91,0.0,80.0,-63.1,-16.91
12,And I – and I looked and it was a big stone.,29.76,80.41,0.0,20.0,-29.76,-60.41
13,And then of course they – they – well they stoned the house.,39.29,90.72,0.0,80.0,-39.29,-10.72
14,And I had sense enough to get the kids into the stairway so that they wouldn't get hurt by flyin' glass.,57.14,73.2,0.0,40.0,-57.14,-33.2
15,"And I said to them, “Now you stay there.",2.38,52.58,0.0,10.0,-2.38,-42.58
16,Don't move 'cause nothing will reach you here.,4.76,48.45,0.0,10.0,-4.76,-38.45
17,And I'm gonna go and see if I can find mom” –,34.52,67.01,0.0,10.0,-34.52,-57.01
18,(We call our mother mom.),4.76,6.19,0.0,0.0,-4.76,-6.19
19,And they were crying,7.14,20.62,0.0,30.0,-7.14,9.38
20,and carryin' on.,5.95,13.4,0.0,20.0,-5.95,6.6
21,"I was scared to death,",14.29,45.36,0.0,50.0,-14.29,4.64
22,I really was frightened out of my wits.,10.71,41.24,0.0,60.0,-10.71,18.76
23,"And I didn't know what to do,",2.38,16.49,0.0,60.0,-2.38,43.51
24,but I remember saying a prayer as I went out the front door because I didn't know what was gonna hit me when I went out that door.,8.33,47.42,0.0,50.0,-8.33,2.58
25,And I ran –,7.14,53.61,0.0,30.0,-7.14,-23.61
26,I was ten years old at the time this happened –,44.05,47.42,0.0,30.0,-44.05,-17.42
27,"I ran to Fourth street, because I knew my mother wa-",26.19,58.76,0.0,20.0,-26.19,-38.76
28,"They had push carts in those days, on Fourth street.",15.48,19.59,0.0,20.0,-15.48,0.41
29,And it was a Jewish neighborhood,34.52,45.36,0.0,30.0,-34.52,-15.36
30,and they – they stayed open until – until all hours.,19.05,24.74,0.0,20.0,-19.05,-4.74
31,"Because they would, you know, however much money they could get they wanted.",7.14,16.49,0.0,20.0,-7.14,3.51
32,So uh that's where she was going to do her shopping.,5.95,28.87,0.0,20.0,-5.95,-8.87
33,And I finally found my mother.,28.57,79.38,0.0,40.0,-28.57,-39.38
34,I did find her.,5.95,43.3,0.0,20.0,-5.95,-23.3
35,And while I was trying to tell her what had happened,15.48,50.52,0.0,30.0,-15.48,-20.52
36,a policeman went by.,57.14,74.23,0.0,30.0,-57.14,-44.23
37,And my voice was such that you could hardly make out what I was saying.,11.9,36.08,0.0,40.0,-11.9,3.92
38,"I was so nervous and – and – my voice was shaking so,",5.95,38.14,0.0,30.0,-5.95,-8.14
39,and he wanted to find out what ha- what was wrong with me.,7.14,56.7,0.0,30.0,-7.14,-26.7
40,And then when he understood what the situation was he turned to my mother,1.19,53.61,0.0,30.0,-1.19,-23.61
41,"and says, “This is a bad neighborhood.",25.0,80.41,0.0,80.0,-25.0,-0.41
42,It's Irish.”,41.67,73.2,0.0,40.0,-41.67,-33.2
43,"And he said, “They're known to do things like that,",4.76,56.7,0.0,80.0,-4.76,23.3
44,Better move out of there.”,29.76,57.73,0.0,50.0,-29.76,-7.73
45,"My mother said, “I just moved in, how am I gonna move out?”",19.05,37.11,0.0,60.0,-19.05,22.89
46,"He says, “I dunno.”",0.0,15.46,0.0,30.0,0.0,14.54
47,"He says, “But they don't want any black people in there.”",32.14,83.51,0.0,80.0,-32.14,-3.51
48,An' he didn't say black 'cause they didn't use black then.,9.52,40.21,0.0,40.0,-9.52,-0.21
49,But “they don't want anybody in there.”,5.95,26.8,0.0,40.0,-5.95,13.2
50,"So uh, she said, “Well you're the law.",1.19,34.02,0.0,70.0,-1.19,35.98
51,You're supposed to protect us.”,4.76,22.68,0.0,50.0,-4.76,27.32
52,"He says, “I can't do anything with it.”",7.14,74.23,0.0,40.0,-7.14,-34.23
53,He was Irish himself.,15.48,59.79,0.0,40.0,-15.48,-19.79
54,“I can't do anything about it.”,2.38,45.36,0.0,40.0,-2.38,-5.36
55,"So my mother said um, “Where is the uh precinct you work from?”",14.29,42.27,0.0,50.0,-14.29,7.73
56,And he told her.,5.95,14.43,0.0,30.0,-5.95,15.57
57,I forgot now.,1.19,10.31,0.0,30.0,-1.19,19.69
58,I was right there with her,0.0,11.34,0.0,30.0,0.0,18.66
59,but I've forgotten where he told her.,1.19,11.34,0.0,30.0,-1.19,18.66
60,"So uh she said, “Well if you can't do anything to help me, I'll go see who – if I can't find someone else to help me.”",5.95,46.39,0.0,60.0,-5.95,13.61
61,"Well in those days black people were so cowed by circumstances an' uniforms and white people, you know, they uh many times didn't assert themselves.",5.95,22.68,0.0,50.0,-5.95,27.32
62,But thankfully my mother was not one of those kind.,9.52,25.77,0.0,40.0,-9.52,14.23
63,And she – well I always thought of her as an educated person which she was because she was the only one I knew who had completed high school.,17.86,35.05,0.0,60.0,-17.86,24.95
64,She went to Lackawanna high school.,4.76,17.53,0.0,40.0,-4.76,22.47
65,"And this was – let me see what year was this happening – well it must have been nineteen twenty-five, so you can see what – what the times were.",26.19,37.11,10.0,80.0,-16.19,42.89
66,"And we went – she took me, and we went to the police station.",29.76,81.44,0.0,30.0,-29.76,-51.44
67,And they also had police wagons with horses attached to them. Believe it or not in those days.,5.95,24.74,0.0,20.0,-5.95,-4.74
68,"So my mother said, to the captain, “What are you going to do about it?”",4.76,44.33,0.0,70.0,-4.76,25.67
69,"And he says, “Well lady there's nothing we can do about it.”",7.14,67.01,0.0,40.0,-7.14,-27.01
70,"And she says, “You mean to tell me that I have to live under those circumstances and there's nothing that you can do about it?”",2.38,44.33,0.0,80.0,-2.38,35.67
71,"She says – he says, “Well uh the only thing I can tell you to do is to move.”",11.9,67.01,0.0,50.0,-11.9,-17.01
72,"He says, “Because” – he said to me, “Did you see anyone?”",1.19,30.93,0.0,40.0,-1.19,9.07
73,"And I said, “No.”",2.38,28.87,0.0,40.0,-2.38,11.13
74,"He says, “Well how can – how can you” – to my mother – “how can you do anything if you don't know who – who to put the blame on?”",5.95,41.24,0.0,40.0,-5.95,-1.24
75,"An' he says, “I'm sure there was more than one person.”",0.0,31.96,0.0,40.0,0.0,8.04
