story,summary_idx,summary_text,narrative_len_chars,sum_logp,summary_len_chars,summary_len_tokens
schissel_v1-pool,0,"At her cousin's wedding reception, a friend pushed her into a pool while trying to protect her from a bee.",802,-68.835689277,106,23.0
schissel_v1-pool,1,A bee near her face led her best friend to shove her into a hotel garden pool during a wedding.,802,-97.38128523,95,21.0
schissel_v1-pool,2,"Dressed up at a fancy reception, she was pushed into the pool by a well-meaning friend avoiding a bee.",802,-88.1987084899,102,24.0
schissel_v1-pool,3,"Her friend tried to save her from a bee, but instead ruined her dress by sending her into the pool.",802,-84.590492434,99,22.0
schissel_v1-pool,4,"During a cousin's wedding, champagne in hand, she was shoved into the water by her panicked best friend.",802,-89.621396359,104,22.0
schissel_v1-pool,5,A bee scare at a fancy hotel garden ended with her gasping in the pool and her friend laughing apologetically.,802,-115.219711135748,110,25.0
schissel_v1-pool,6,"Her best friend overreacted to a bee near her face, causing a splashy disaster at the wedding reception.",802,-80.30047465999999,104,23.0
schissel_v1-pool,7,"Instead of a bee sting, she got a soaked dress after her friend pushed her into the pool.",802,-74.179004169,89,20.0
schissel_v1-pool,8,"At a formal wedding, a friend's protective shove sent her into the pool, narrowly missing the cake.",802,-92.20291584,99,21.0
schissel_v1-pool,9,Her cousin joked she nearly landed on the cake after a bee-related shove dumped her into the pool.,802,-116.051295864,98,20.0
schissel_v2-lake,0,"During a summer camping trip, my best friend shoved me into a lake after I refused her dare to catch a frog.",774,-76.341789074,108,24.0
schissel_v2-lake,1,A peaceful lakeside sandwich break turned chaotic when my friend nudged me into the water over a frog-catching dare.,774,-99.825058527,116,23.0
schissel_v2-lake,2,"At our favorite woodland camping spot, my friend pushed me into the lake, then handed me the frog she wanted caught.",774,-106.308892464,116,24.0
schissel_v2-lake,3,"My friend dared me to catch a frog, ignored my refusal, pushed me into the lake, and made me laugh afterward.",774,-94.931579052,109,25.0
schissel_v2-lake,4,"On our annual summer campout, a frog dare led to my best friend surprising me with a shove into the lake.",774,-89.14974913,105,24.0
schissel_v2-lake,5,"I refused to catch a frog during lunch, so my mischievous best friend pushed me into the lake for fun.",774,-84.78206085794,102,24.0
schissel_v2-lake,6,"After being pushed into the lake by my friend over a frog, I surfaced laughing and promised playful revenge.",774,-90.55672261,108,21.0
schissel_v2-lake,7,A camping afternoon at the lake became hilarious when my best friend used a frog dare to prank me into the water.,774,-103.63973776,113,23.0
schissel_v2-lake,8,"My best friend spotted a frog, dared me to grab it, then pushed me into the lake when I declined.",774,-79.758912188,97,23.0
schissel_v2-lake,9,"Soaked but laughing, I accepted the frog from my friend and warned her she would get revenge soon enough.",774,-98.29159556,105,22.0
boyscout,0,"During a Boy Scouts pier race, the narrator cramped, cried for help, was ignored, and was rescued by a stranger.",711,-109.73722358,112,25.0
boyscout,1,"While racing with scouts at a pier, he got cramps, began sinking, and survived because a newcomer jumped in.",711,-113.55975959,108,24.0
boyscout,2,"A Boy Scout 50-yard dash turned dangerous when cramps struck; friends and scoutmaster ignored him, but a stranger saved him.",711,-116.90186686,124,27.0
boyscout,3,The narrator nearly drowned during a scout race after cramps hit and others mistook his cries as joking.,711,-98.160432665,104,21.0
boyscout,4,"In a group race at the pier, he slowed from cramps, yelled help, and was abandoned until a passerby rescued him.",711,-126.79462552,112,27.0
boyscout,5,"Scouts racing back and forth ignored his distress, thinking he was faking, while a newly arrived man jumped in.",711,-116.9910980765,111,24.0
boyscout,6,A routine Boy Scouts pier sprint became a near-drowning when cramps overcame him and no one believed his pleas.,711,-117.4728942964,111,24.0
boyscout,7,"He was left behind in a scout race after cramping and sinking, despite shouting for help and being watched.",711,-106.73800388,107,22.0
boyscout,8,The scoutmaster and boys failed to respond when he cramped during the race; an unexpected stranger grabbed him.,711,-112.40892173,111,21.0
boyscout,9,"At a Boy Scouts event, he almost drowned from cramps during a 50-yard race before an unknown rescuer intervened.",711,-98.58366647835,112,25.0
triplett_v1-rookie,0,"As a rookie officer, he drew unwanted attention from the Chief’s talkative daughter, causing tension and an eventual transfer.",1329,-88.257175577,126,24.0
triplett_v1-rookie,1,"The Chief’s daughter pretended to run away over her father’s scolding about the narrator, prompting a search and later relief.",1329,-112.169686245,126,25.0
triplett_v1-rookie,2,"A rookie policeman avoided romance with the Chief’s chatterbox daughter, then left town after her fake disappearance stirred trouble.",1329,-118.882495572,133,23.0
triplett_v1-rookie,3,"The veteran Chief feared his daughter had fled because of the narrator, but she was safely found reading at the station.",1329,-111.28140325,120,23.0
triplett_v1-rookie,4,"After the Chief’s daughter left a runaway note, the narrator helped search, only to discover she had never really vanished.",1329,-108.42394688,123,24.0
triplett_v1-rookie,5,The narrator’s rookie year ended when a misunderstanding involving the Chief’s daughter made staying in the department too risky.,1329,-94.7116536,129,22.0
triplett_v1-rookie,6,"The Chief’s daughter seemed infatuated with a fitness-minded rookie, but her fake runaway scare forced him to transfer away.",1329,-123.76054397078,124,25.0
triplett_v1-rookie,7,"A veteran Chief confronted a rookie over his daughter’s supposed flight, but their search ended anticlimactically at the station.",1329,-122.67604654935,129,25.0
