segment_id,segment_text,p-caught
1,My daughter died.,94.06%
2,It’ll be twenty-eight years this month.,96.04%
3,"The thirtieth of this month, yeah.",78.22%
4,She died at Methodist Hospital.,65.35%
5,She had an operation for appendicitis.,98.02%
6,"It was late Saturday afternoon when they operated, very late.",37.62%
7,"Sunday morning, my oldest daughter, Victoria, went to the hospital to see how she was.",55.45%
8,She was still under ether.,50.50%
9,"Back then, they used a lot of ether.",44.55%
10,There was a chair there.,6.93%
11,"They were just starting to get people out of bed, you know.",76.24%
12,"So, Victoria saw the chair,",43.56%
13,"and she said to the nurse, “What’s this chair doing here?”",47.52%
14,"The nurse said, “Well, we’ve got to get her out of bed.”",77.23%
15,"She said, “What are you talking about? She’s still under ether.”",57.43%
16,“She’s too sick.”,36.63%
17,"But the nurse said, “Well, that’s the doctor’s orders.”",61.39%
18,"So, they went to get her out of bed,",67.33%
19,"and she passed out,",57.43%
20,and they had to put her back in bed.,34.65%
21,"See, here, she never – I don’t know if they knew or what,",32.67%
22,"but I blame them for the blood clot she got, taking her out of bed.",85.15%
23,"So, when she was walking around to come home after ten days,",48.51%
24,I was waiting for the call from the hospital.,81.19%
25,I didn’t have a phone then.,17.82%
26,"The lady from the store who had a phone called me, “Mrs. Costa,” at aquarter to five at night.",63.37%
27,"“Mrs. Costa, they just called you from the hospital.",49.50%
28,Go Pick Marie up.,74.26%
29,She’s discharged.”,11.88%
30,I had all the clothes laid out on the table.,32.67%
31,"And Rita was – I was cooking,",23.76%
32,"I said, “Rita, finish the cooking.”",16.83%
33,Daddy will be home soon.”,21.78%
34,He was working down in the yard.,17.82%
35,"I said, “And put a big pot of coffee on,” because she had been wishing for coffee.",24.75%
36,"And you know, every morning, that first cup of coffee, I offered it to her.",20.79%
37,"When I get up in the morning, the first cup is hers.",16.83%
38,"Since she’s gone, I never forget that.",19.80%
39,"So I said, “Put a pot of coffee on,",19.80%
40,and send for some cake from the bakery.”,15.84%
41,I’m going to get Marie; they called me.”,24.75%
42,"“All right, mother, go ahead,” she said, “I’ll finish up.”",11.88%
43,"And I went myself. You know, I had the coat on my arm.",24.75%
44,She was operated on in March –,39.60%
45,"No, April! So that was the thirtieth.",66.34%
46,"She was operated – ten days before, so that would be the twentieth.",43.56%
47,"The twentieth of April, right? It was kind of chilly.",6.93%
48,"Oh, and I had everything in a bag,",11.88%
