segment_id,segment_text,p-caught
1,"Well, I was at work one day",53.21%
2,I was doing my usual job,63.30%
3,working on the warehouse floor,93.58%
4,stocking boxes,72.48%
5,organizing merchandise,45.87%
6,I had been working for a few hours,11.93%
7,it was getting late,13.76%
8,I had been feeling a bit strange,93.58%
9,a bit lightheaded,99.08%
10,but chalked it up to hunger,92.66%
11,not having eaten yet that day,97.25%
12,"But then, as I was walking around the warehouse",53.21%
13,returning items to their proper places,15.60%
14,I started to feel a strange tightness,100.00%
15,and pressure in my chest,100.00%
16,I stopped what I was doing,46.79%
17,leaned against a nearby wall for a bit,65.14%
18,the pressure only got stronger,59.63%
19,I could feel my heart pounding in my chest,100.00%
20,"Next thing I know, I started seeing spots",100.00%
21,I could feel sweat dripping down my forehead,100.00%
22,my arms,77.06%
23,I tried to take some deep breaths,70.64%
24,I just couldn't catch my breath,100.00%
25,I was really scared,97.25%
26,didn't know what to do.,42.20%
27,Suddenly I heard a voice coming from across the warehouse.,88.99%
28,It was the manager,76.15%
29,who had seen me,100.00%
30,called out to me,99.08%
31,it seems someone had noticed me,43.12%
32,was checking to see if I was alright,9.17%
33,I tried to yell back that something was wrong,80.73%
34,I couldn't find my voice.,100.00%
35,The manager started walking towards me,90.83%
36,I could feel my world going dark,66.06%
37,I started to drop to the ground,88.99%
38,luckily the manager got to me in time,97.25%
39,caught me just before my legs gave out,100.00%
40,He took me to the staff room,99.08%
41,sat me down in a chair,100.00%
42,He asked me questions about what was wrong,22.94%
43,what happened,22.02%
44,He got me a glass of cold water,100.00%
45,told me to rest for a bit,42.20%
46,After a few minutes,87.16%
47,the pressure in my chest slowly eased up,94.50%
48,I started to feel better,48.62%
49,It turned out I had been having a panic attack,98.17%
50,I escaped from the situation,13.76%
51,the help of the quick action of the manager,88.07%
52,It was never a fun experience,16.51%
53,it really could have been much worse,45.87%
54,it taught me to check in with myself,79.82%
55,make sure to properly rest,82.57%
56,eat to avoid further episodes,76.15%
