story,summary_idx,summary_text,narrative_len_chars,sum_logp,summary_len_chars,summary_len_tokens
schissel_v1-pool,0,"At a wedding reception, my friend shoved me into a pool to save me from a bee.",802,-55.22338882,78,19
schissel_v1-pool,1,A bee near my face led my best friend to push me into the hotel garden pool.,802,-76.58823095,76,18
schissel_v1-pool,2,"My friend tried to prevent a bee sting, but ruined my dress by pushing me into the pool.",802,-81.80278989,88,20
schissel_v1-pool,3,"During my cousin's wedding, a bee scare ended with me soaked in the pool.",802,-73.82034767,73,17
schissel_v1-pool,4,"Champagne in hand, I was shoved into a pool by a friend trying to help.",802,-74.7556300783,71,19
schissel_v1-pool,5,My best friend panicked over a bee and sent me tumbling into the reception pool.,802,-78.1939654557,80,17
schissel_v1-pool,6,"A well-meant shove to dodge a bee left me gasping, soaked, and in a ruined dress.",802,-103.70778942775,81,22
schissel_v1-pool,7,"At a fancy hotel wedding, my friend's bee rescue attempt became a pool disaster.",802,-95.2701837,80,17
schissel_v1-pool,8,My friend apologized and laughed after pushing me into the pool to avoid a bee sting.,802,-66.97856076000001,85,17
schissel_v1-pool,9,My cousin joked I nearly landed on the cake after my bee-fearing friend pushed me in.,802,-106.5760303415,85,19
schissel_v2-lake,0,Best friend pushed me into a lake on a camping trip after I refused a frog-catching dare.,774,-78.93728098700001,89,19
schissel_v2-lake,1,"At our favorite woods spot, a frog dare turned into a surprise shove into the lake.",774,-91.20301441,83,18
schissel_v2-lake,2,"I ignored my friend's frog dare, so she nudged me into the water and handed me the frog.",774,-86.5181162855,88,22
schissel_v2-lake,3,A peaceful camping lunch became chaos when my friend pushed me into the lake over a frog.,774,-87.58082288,89,18
schissel_v2-lake,4,"After I surfaced laughing, my friend scooped up the frog and I vowed playful revenge.",774,-91.3933416,85,18
schissel_v2-lake,5,My friend wouldn't take no for an answer and shoved me into the lake to catch a frog.,774,-66.26873847164,85,20
schissel_v2-lake,6,"During summer camp, a rejected frog challenge ended with me soaked and plotting payback.",774,-98.47612397,88,17
schissel_v2-lake,7,"She dared me to catch a shore frog, pushed me in, then proudly gave me the frog.",774,-96.22354581,80,20
schissel_v2-lake,8,Our annual camping trip got hilarious when a frog prank left me dripping in the lake.,774,-86.828928084,85,17
schissel_v2-lake,9,"A lake shove, a frog, and uncontrollable laughter sparked a friendly revenge promise.",774,-100.603019054,85,17
boyscout,0,"During a Boy Scouts 50-yard dash at a pier, he cramped and cried for help.",711,-93.20038885,74,19
boyscout,1,He got cramps while racing with scouts at the pier and began sinking.,711,-79.7115322,69,15
boyscout,2,Other boys thought his calls for help were a trick to catch up and kept going.,711,-77.36603351,78,17
boyscout,3,The scoutmaster saw him struggling but did not respond or take action.,711,-56.41022313,70,14
boyscout,4,"After cramping during a pier race, he was left behind by the other scouts.",711,-79.76393545,74,17
boyscout,5,"He yelled for help in the water, but his friends ignored him and continued racing.",711,-56.67685471,82,17
boyscout,6,"As he started going under, a stranger who had just arrived jumped in to save him.",711,-59.46592718,81,18
boyscout,7,A passerby unexpectedly rescued him when no one else believed he was drowning.,711,-65.07016039,78,15
boyscout,8,"While racing back and forth at the pier, cramps left him unable to swim.",711,-71.11289613,72,17
boyscout,9,He nearly drowned during a Boy Scouts race until a newly arrived man grabbed him.,711,-85.89125197,81,16
triplett_v1-rookie,0,"As a rookie cop, he drew the chief's anger when the chief's talkative daughter seemed smitten with him.",1329,-82.8284862293,103,24
triplett_v1-rookie,1,"The chief's daughter claimed she'd run away over scoldings about a rookie officer, sparking a search.",1329,-96.290275903,101,22
triplett_v1-rookie,2,"A rookie officer searched for the chief's daughter, only to find her safe at the station reading.",1329,-80.291909667,97,20
triplett_v1-rookie,3,"After a false runaway scare involving the chief's daughter, a deputy warned the rookie to transfer.",1329,-101.29949555,99,19
triplett_v1-rookie,4,"The narrator, a fitness-loving rookie, was targeted by the chatterbox daughter of a fearsome chief.",1329,-106.5958901418,99,21
triplett_v1-rookie,5,The veteran chief threatened a rookie after his daughter left a runaway note tied to her crush.,1329,-110.82342065,95,18
triplett_v1-rookie,6,"A supposed escape by the chief's daughter ended harmlessly, but the rookie still fled the precinct.",1329,-108.449797468,99,20
triplett_v1-rookie,7,"Frank Mitchell warned the rookie the chief never forgets, so he transferred after his first year.",1329,-99.754858385,97,19
triplett_v1-rookie,8,The chief's daughter caused a scare with a runaway message; she was later found calmly reading.,1329,-92.93500736,95,19
triplett_v1-rookie,9,A rookie's first year ended in transfer after the chief's daughter's antics made him a marked man.,1329,-94.154084478,98,21
triplett_v2-catlady,0,"Mrs. Baker, the cat lady, feared her rude grandson ran away over her nagging about me.",1291,-101.0986897449,86,21
triplett_v2-catlady,1,A cat-loving neighbor asked me to help find her grandson after he left a runaway note.,1291,-75.3157361,86,18
triplett_v2-catlady,2,"Mrs. Baker's ill-mannered grandson claimed he ran off, but was found in my treehouse.",1291,-101.28600150184,85,22
triplett_v2-catlady,3,"I helped Mrs. Baker search near the old mill, only to find her grandson reading in my club.",1291,-107.68069703,91,21
triplett_v2-catlady,4,A rude boy's fake runaway note sent Mrs. Baker and me on a search ending at my treehouse.,1291,-110.19895212,89,22
triplett_v2-catlady,5,"Mrs. Baker panicked over her grandson's note, but he was hiding with a comic in my treehouse.",1291,-108.46872817,93,22
triplett_v2-catlady,6,"The cat lady's grandson wanted my friendship, then staged a runaway scare after being nagged.",1291,-103.947150694,93,19
triplett_v2-catlady,7,"After a search by the old mill, Mrs. Baker's missing grandson turned up safe in a treehouse.",1291,-83.38609841499999,92,22
triplett_v2-catlady,8,Officer Dawson warned me to lay low because Mrs. Baker never forgot a grudge or suspicion.,1291,-101.82131649914,90,20
triplett_v2-catlady,9,"As a tomboy, I got caught in Mrs. Baker's family drama when her grandson faked running away.",1291,-99.619708964,92,23
