segment_id,segment_text,p-caught
1,"In the neighborhood I grew up in, Mrs. Baker was the resident cat lady.",85.44%
2,She had adopted at least twenty –,46.60%
3,or had given them homes.,46.60%
4,But she had – a young grandson,83.50%
5,and back then I was quite the tomboy.,47.57%
6,"And apparently, he was trying to befriend me.",92.23%
7,I never caught on.,74.76%
8,Truth is I didn't take to him much because he had –,94.17%
9,He was a charming lad until you saw his manners.,94.17%
10,He had poor manners.,94.17%
11,Goodness gracious he had poor manners.,94.17%
12,Then he left a note one day saying he was going to run away because she was always nagging about me.,100.00%
13,She came to my treehouse.,100.00%
14,Big old tabby cat in tow.,73.79%
15,I talked her down,91.26%
16,and said “Well we'll go find him,99.03%
17,"and if we can't locate him, you can – go ahead and call the police if you need to.”",64.08%
18,I was strategizing.,52.43%
19,So she took my advice.,90.29%
20,And we went to where they found his baseball cap – near the old mill,93.20%
21,and we trailed a bit more,82.52%
22,and we didn't find a trace.,59.22%
23,And returned,36.89%
24,– it was a treehouse club –,80.58%
25,he was sitting on a branch with a comic book in his hand.,98.06%
26,He hadn't run away.,60.19%
27,But – however – that resolved it for that day.,15.53%
28,"But that evening the local sheriff, Officer Dawson said “You better lay low and stay out of sight because that woman never forgets anything once she gets it into her mind.”",81.55%
29,And I did.,66.02%
30,I laid low,66.99%
31,and stayed out of sight.,67.96%
32,That was the second time.,0.97%
